| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 54 | 29 | 0 | - | 32 | 1.10 | 6.22 | 58 | 25 | 0.7 | 0/0 | 0 | 1/248 | 474 | 31 |
| 0.05:4:true | 43 | 35 | 2 | newton 1, be-state 1 | 40 | 1.14 | 5.78 | 174 | 40 | 0.6 | 0/0 | 0 | 1/248 | 513 | 35 |
| 0.05:5:false | 43 | 30 | 1 | be-state 1 | 36 | 1.20 | 6.83 | 67 | 33 | 0.4 | 0/0 | 0 | 1/248 | 516 | 34 |
| 0.05:5:true | 37 | 30 | 1 | be-state 1 | 35 | 1.17 | 5.86 | 44 | 30 | 0.4 | 0/0 | 0 | 1/248 | 475 | 31 |
| 0.05:6:false | 49 | 33 | 5 | newton 4, be-state 1 | 55 | 1.67 | 6.84 | 648 | 85 | 1.1 | 0/0 | 0 | 1/248 | 567 | 49 |
| 0.05:6:true | 48 | 30 | 1 | be-state 1 | 36 | 1.20 | 6.22 | 59 | 32 | 0.5 | 0/0 | 0 | 1/248 | 493 | 33 |
| 0.02:4:false | 31 | 20 | 0 | - | 21 | 1.05 | 8.43 | 12 | 17 | 0.2 | 0/0 | 0 | 1/248 | 419 | 25 |
| 0.02:4:true | 24 | 21 | 0 | - | 22 | 1.05 | 7.36 | 1 | 16 | 0.3 | 0/0 | 0 | 1/248 | 407 | 24 |
| 0.02:5:false | 27 | 24 | 0 | - | 26 | 1.08 | 8.08 | 12 | 23 | 0.3 | 0/0 | 0 | 1/248 | 456 | 28 |
| 0.02:5:true | 25 | 21 | 0 | - | 23 | 1.10 | 7.91 | 20 | 19 | 0.2 | 0/0 | 0 | 1/248 | 412 | 25 |
| 0.02:6:false | 29 | 24 | 0 | - | 28 | 1.17 | 7.79 | 13 | 23 | 0.2 | 0/0 | 0 | 1/248 | 464 | 29 |
| 0.02:6:true | 27 | 21 | 0 | - | 25 | 1.19 | 7.84 | 1 | 18 | 0.4 | 0/0 | 0 | 1/248 | 420 | 26 |
| transient total | 437 | 318 | 10 | newton 5, be-state 5 | 379 | 1.19 | 6.93 | 1109 | 361 | 5.1 | 0/0 | 0 | 12/2976 | 5616 | 370 |
| static total (32 cases) | 659 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.4 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 102 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.4 | 0.0 / 0.0 | 6.5 | 1.5 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.7 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 25 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.4 | 0.0 / 0.0 | 0.6 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 24 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.4 | 0.2 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.2 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 19 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.3 | 0.0 / 0.0 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
