| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 49 | 21 | 1 | newton 1 | 23 | 1.10 | 8.91 | 120 | 43 | 0.6 | 0/0 | 0 | 1/248 | 424 | 30 |
| 0.05:4:true | 28 | 21 | 1 | newton 1 | 23 | 1.10 | 7.22 | 57 | 26 | 0.4 | 0/0 | 0 | 1/248 | 411 | 25 |
| 0.05:5:false | 29 | 20 | 0 | - | 22 | 1.10 | 8.55 | 43 | 27 | 0.3 | 0/0 | 0 | 1/248 | 418 | 26 |
| 0.05:5:true | 25 | 20 | 0 | - | 22 | 1.10 | 7.91 | 27 | 21 | 0.3 | 0/0 | 0 | 1/248 | 405 | 25 |
| 0.05:6:false | 37 | 20 | 0 | - | 28 | 1.40 | 9.68 | 17 | 40 | 0.5 | 0/0 | 0 | 1/248 | 436 | 29 |
| 0.05:6:true | 34 | 20 | 0 | - | 24 | 1.20 | 7.96 | 18 | 27 | 0.4 | 0/0 | 0 | 1/248 | 413 | 26 |
| 0.02:4:false | 24 | 17 | 0 | - | 18 | 1.06 | 8.39 | 8 | 16 | 0.2 | 0/0 | 0 | 1/248 | 395 | 23 |
| 0.02:4:true | 23 | 18 | 1 | be-state 1 | 20 | 1.11 | 8.15 | 11 | 16 | 0.2 | 0/0 | 0 | 1/248 | 393 | 23 |
| 0.02:5:false | 24 | 19 | 1 | be-state 1 | 22 | 1.16 | 8.45 | 19 | 21 | 0.2 | 0/0 | 0 | 1/248 | 424 | 25 |
| 0.02:5:true | 24 | 18 | 1 | be-state 1 | 21 | 1.17 | 8.19 | 6 | 17 | 0.3 | 0/0 | 0 | 1/248 | 398 | 24 |
| 0.02:6:false | 28 | 20 | 2 | newton 1, be-state 1 | 26 | 1.30 | 9.04 | 13 | 32 | 0.3 | 0/0 | 0 | 1/248 | 445 | 28 |
| 0.02:6:true | 26 | 18 | 1 | be-state 1 | 23 | 1.28 | 8.26 | 5 | 21 | 0.4 | 0/0 | 0 | 1/248 | 406 | 25 |
| transient total | 351 | 232 | 8 | newton 3, be-state 5 | 272 | 1.17 | 8.43 | 344 | 307 | 4.0 | 0/0 | 0 | 12/2976 | 4968 | 309 |
| static total (32 cases) | 654 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 14.4 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 111 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.6 | 0.0 / 0.0 | 10.4 | 2.0 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.7 | 0.3 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 21 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.8 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 19 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.4 | 0.2 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 16 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.1 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.2 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 300 | 262 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 11.1 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 17 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 302 | 264 (2/2/0/0/248) | 0.1 | 0.0 / 0.0 | 0.3 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:true | 14 | 1 | 0 | 3 | 9.67 | 8 | 0 | 67 | 361 | 259 (3/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.4 | 0.1 | 10.9 | 0.5 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:true | 15 | 1 | 0 | 2 | 10.00 | 3 | 1 | 22 | 297 | 260 (2/2/0/0/248) | 0.2 | 0.0 / 0.0 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
