| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 69 | 24 | 5 | newton 2, be-state 3 | 30 | 1.25 | 9.17 | 76 | 67 | 1.2 | 0/0 | 0 | 1/248 | 472 | 34 |
| 0.05:4:true | 37 | 22 | 3 | be-state 3 | 26 | 1.18 | 9.00 | 72 | 42 | 0.5 | 0/0 | 0 | 1/248 | 431 | 28 |
| 0.05:5:false | 71 | 27 | 8 | newton 6, be-state 2 | 38 | 1.41 | 10.50 | 273 | 137 | 1.5 | 0/0 | 0 | 1/248 | 519 | 44 |
| 0.05:5:true | 46 | 23 | 4 | newton 2, be-state 2 | 30 | 1.30 | 8.93 | 106 | 64 | 0.7 | 0/0 | 0 | 1/248 | 449 | 32 |
| 0.05:6:false | 36 | 25 | 5 | newton 3, be-state 2 | 34 | 1.36 | 10.29 | 143 | 89 | 0.8 | 0/0 | 0 | 1/248 | 489 | 37 |
| 0.05:6:true | 36 | 25 | 6 | newton 3, be-state 3 | 41 | 1.64 | 10.32 | 207 | 107 | 0.7 | 0/0 | 0 | 1/248 | 495 | 40 |
| 0.02:4:false | 20 | 15 | 0 | - | 16 | 1.07 | 8.88 | 26 | 16 | 0.2 | 0/0 | 0 | 1/248 | 379 | 22 |
| 0.02:4:true | 22 | 16 | 1 | newton 1 | 18 | 1.13 | 8.50 | 85 | 32 | 0.3 | 0/0 | 0 | 1/248 | 376 | 24 |
| 0.02:5:false | 28 | 18 | 3 | newton 3 | 23 | 1.28 | 10.65 | 76 | 64 | 0.4 | 0/0 | 0 | 1/248 | 423 | 29 |
| 0.02:5:true | 24 | 15 | 0 | - | 17 | 1.13 | 9.29 | 66 | 25 | 0.3 | 0/0 | 0 | 1/248 | 370 | 23 |
| 0.02:6:false | 32 | 18 | 3 | newton 3 | 25 | 1.39 | 10.40 | 105 | 72 | 0.5 | 0/0 | 0 | 1/248 | 431 | 31 |
| 0.02:6:true | 25 | 15 | 0 | - | 19 | 1.27 | 8.95 | 33 | 26 | 0.2 | 0/0 | 0 | 1/248 | 378 | 24 |
| transient total | 446 | 243 | 38 | newton 23, be-state 15 | 317 | 1.30 | 9.71 | 1268 | 741 | 7.2 | 0/0 | 0 | 12/2976 | 5212 | 366 |
| static total (32 cases) | 639 | 35 | 3 | newton 3 | 72 | 2.06 | 10.57 | 438 | 161 | 12.5 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 107 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.3 | 34.2 / 63.7 | 7.9 | 1.6 | 17.5 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 18 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.2 | 14.3 / 16.1 | 0.7 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 19 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.1 | 15.2 / 17.0 | 0.9 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.2 | 17.2 / 18.9 | 0.4 | 0.3 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 12.3 / 13.3 | 0.2 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 12.8 / 14.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 13.9 / 15.0 | 0.3 | 0.1 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.1 | 14.8 / 15.9 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.2 | 11.3 / 12.1 | 0.3 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.1 | 12.5 / 13.6 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
