| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 55 | 24 | 5 | newton 2, be-state 3 | 30 | 1.25 | 7.40 | 114 | 39 | 0.7 | 0/0 | 0 | 1/248 | 480 | 33 |
| 0.05:4:true | 37 | 22 | 3 | be-state 3 | 26 | 1.18 | 7.92 | 51 | 30 | 0.5 | 0/0 | 0 | 1/248 | 438 | 28 |
| 0.05:5:false | 42 | 26 | 7 | newton 5, be-state 2 | 35 | 1.35 | 8.91 | 160 | 58 | 0.6 | 0/0 | 0 | 1/248 | 505 | 36 |
| 0.05:5:true | 33 | 22 | 3 | be-state 3 | 27 | 1.23 | 8.41 | 71 | 40 | 0.4 | 0/0 | 0 | 1/248 | 443 | 29 |
| 0.05:6:false | 35 | 24 | 5 | newton 3, be-state 2 | 33 | 1.38 | 8.76 | 109 | 53 | 0.6 | 0/0 | 0 | 1/248 | 491 | 34 |
| 0.05:6:true | 29 | 22 | 3 | newton 2, be-state 1 | 29 | 1.32 | 8.41 | 55 | 46 | 0.5 | 0/0 | 0 | 1/248 | 445 | 30 |
| 0.02:4:false | 20 | 15 | 0 | - | 16 | 1.07 | 8.88 | 10 | 15 | 0.2 | 0/0 | 0 | 1/248 | 379 | 22 |
| 0.02:4:true | 21 | 15 | 0 | - | 16 | 1.07 | 8.88 | 4 | 18 | 0.2 | 0/0 | 0 | 1/248 | 365 | 21 |
| 0.02:5:false | 24 | 17 | 1 | newton 1 | 20 | 1.18 | 9.80 | 83 | 35 | 0.4 | 0/0 | 0 | 1/248 | 405 | 26 |
| 0.02:5:true | 22 | 16 | 1 | newton 1 | 19 | 1.19 | 9.11 | 64 | 26 | 0.2 | 0/0 | 0 | 1/248 | 381 | 24 |
| 0.02:6:false | 25 | 16 | 0 | - | 20 | 1.25 | 9.10 | 77 | 27 | 0.2 | 0/0 | 0 | 1/248 | 400 | 25 |
| 0.02:6:true | 23 | 15 | 0 | - | 19 | 1.27 | 8.53 | 32 | 27 | 0.2 | 0/0 | 0 | 1/248 | 378 | 24 |
| transient total | 366 | 234 | 28 | newton 14, be-state 14 | 290 | 1.24 | 8.61 | 830 | 414 | 4.8 | 0/0 | 0 | 12/2976 | 5110 | 329 |
| static total (32 cases) | 642 | 33 | 1 | newton 1 | 68 | 2.06 | 10.54 | 358 | 139 | 13.2 | 0/0 | 0 | 34/8432 | 8852 | 391 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 113 | 1 | 0 | 2 | 9.00 | 3 | 1 | 20 | 293 | 258 (2/2/0/0/248) | 0.6 | 34.8 / 64.6 | 8.5 | 1.9 | 17.4 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (2/2/0/0/248) | 0.3 | 19.2 / 20.9 | 0.8 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 22 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.2 | 17.4 / 19.0 | 0.8 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 20 | 1 | 0 | 2 | 10.00 | 3 | 1 | 30 | 309 | 264 (2/2/0/0/248) | 0.2 | 16.1 / 17.9 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 16 | 1 | 0 | 2 | 9.00 | 3 | 1 | 20 | 293 | 258 (2/2/0/0/248) | 0.2 | 13.4 / 14.5 | 0.3 | 0.3 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 19 | 1 | 0 | 2 | 9.00 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 16.5 / 17.6 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 20 | 1 | 0 | 2 | 12.50 | 4 | 1 | 35 | 316 | 262 (2/2/0/0/248) | 0.2 | 16.4 / 17.9 | 0.4 | 0.2 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 19 | 1 | 0 | 2 | 9.50 | 4 | 1 | 32 | 315 | 264 (2/2/0/0/248) | 0.1 | 15.5 / 16.6 | 0.4 | 0.3 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.50 | 3 | 1 | 20 | 293 | 258 (2/2/0/0/248) | 0.2 | 11.5 / 12.3 | 0.2 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 10.00 | 4 | 1 | 22 | 301 | 260 (2/2/0/0/248) | 0.2 | 12.5 / 13.4 | 0.4 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
