| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 50 | 24 | 5 | newton 2, be-state 3 | 30 | 1.25 | 6.87 | 114 | 38 | 0.6 | 0/0 | 0 | 1/248 | 480 | 33 |
| 0.05:4:true | 32 | 22 | 3 | be-state 3 | 26 | 1.18 | 7.35 | 51 | 27 | 0.4 | 0/0 | 0 | 1/248 | 438 | 27 |
| 0.05:5:false | 53 | 23 | 4 | newton 2, be-state 2 | 30 | 1.30 | 8.53 | 132 | 53 | 0.6 | 0/0 | 0 | 1/248 | 474 | 32 |
| 0.05:5:true | 37 | 22 | 3 | be-state 3 | 27 | 1.23 | 7.96 | 94 | 38 | 0.5 | 0/0 | 0 | 1/248 | 443 | 30 |
| 0.05:6:false | 41 | 23 | 4 | newton 2, be-state 2 | 31 | 1.35 | 8.26 | 114 | 48 | 0.7 | 0/0 | 0 | 1/248 | 472 | 33 |
| 0.05:6:true | 31 | 22 | 3 | newton 2, be-state 1 | 29 | 1.32 | 8.10 | 62 | 42 | 0.5 | 0/0 | 0 | 1/248 | 445 | 30 |
| 0.02:4:false | 23 | 15 | 0 | - | 16 | 1.07 | 8.25 | 10 | 14 | 0.2 | 0/0 | 0 | 1/248 | 379 | 21 |
| 0.02:4:true | 21 | 15 | 0 | - | 16 | 1.07 | 8.50 | 4 | 17 | 0.2 | 0/0 | 0 | 1/248 | 365 | 21 |
| 0.02:5:false | 27 | 17 | 1 | newton 1 | 20 | 1.18 | 9.45 | 83 | 35 | 0.4 | 0/0 | 0 | 1/248 | 405 | 26 |
| 0.02:5:true | 22 | 16 | 1 | newton 1 | 19 | 1.19 | 8.79 | 64 | 26 | 0.3 | 0/0 | 0 | 1/248 | 381 | 24 |
| 0.02:6:false | 24 | 16 | 0 | - | 20 | 1.25 | 8.75 | 77 | 26 | 0.3 | 0/0 | 0 | 1/248 | 400 | 25 |
| 0.02:6:true | 23 | 15 | 0 | - | 19 | 1.27 | 8.26 | 32 | 25 | 0.2 | 0/0 | 0 | 1/248 | 378 | 23 |
| transient total | 384 | 230 | 24 | newton 10, be-state 14 | 283 | 1.23 | 8.18 | 837 | 389 | 4.8 | 0/0 | 0 | 12/2976 | 5060 | 324 |
| static total (32 cases) | 610 | 33 | 1 | newton 1 | 68 | 2.06 | 10.18 | 358 | 139 | 11.7 | 0/0 | 0 | 34/8432 | 8852 | 391 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 107 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.5 | 31.4 / 59.4 | 6.9 | 1.6 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 18 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (2/2/0/0/248) | 0.2 | 13.8 / 15.3 | 0.6 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 18 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.1 | 14.5 / 16.0 | 0.8 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 308 | 264 (2/2/0/0/248) | 0.3 | 15.9 / 17.5 | 0.4 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.1 | 13.3 / 14.1 | 0.2 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 16 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 296 | 260 (2/2/0/0/248) | 0.1 | 14.1 / 15.0 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 19 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 315 | 262 (2/2/0/0/248) | 0.2 | 16.1 / 17.3 | 0.3 | 0.1 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 17 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 314 | 264 (2/2/0/0/248) | 0.2 | 14.9 / 15.8 | 0.4 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.1 | 11.3 / 11.9 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.2 | 12.5 / 13.3 | 0.4 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 15 | 1 | 0 | 2 | 10.00 | 3 | 1 | 30 | 307 | 262 (2/2/0/0/248) | 0.2 | 13.7 / 14.4 | 0.3 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 17 | 1 | 0 | 2 | 8.50 | 3 | 1 | 22 | 301 | 264 (2/2/0/0/248) | 0.1 | 14.9 / 15.6 | 0.2 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:true | 13 | 1 | 0 | 3 | 9.00 | 8 | 0 | 65 | 359 | 259 (3/2/0/0/248) | 0.2 | 11.7 / 12.9 | 0.3 | 0.1 | 10.9 | 0.5 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:true | 14 | 1 | 0 | 2 | 10.00 | 5 | 1 | 25 | 308 | 260 (2/2/0/0/248) | 0.1 | 12.5 / 13.2 | 0.3 | 0.1 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:true | 17 | 1 | 0 | 2 | 14.50 | 6 | 1 | 68 | 357 | 262 (2/2/0/0/248) | 0.1 | 15.3 / 16.0 | 0.4 | 0.1 | 11.4 | 0.5 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:true | 16 | 1 | 0 | 2 | 8.50 | 3 | 1 | 22 | 301 | 264 (2/2/0/0/248) | 0.1 | 14.1 / 14.9 | 0.3 | 0.1 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:true:false | 12 | 1 | 0 | 2 | 10.00 | 3 | 1 | 29 | 302 | 258 (2/2/0/0/248) | 0.1 | 10.7 / 11.2 | 0.2 | 0.1 | 10.6 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:true:false | 13 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 307 | 260 (2/2/0/0/248) | 0.1 | 11.8 / 12.3 | 0.2 | 0.1 | 10.9 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:true:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 309 | 262 (2/2/0/0/248) | 0.1 | 13.0 / 13.6 | 0.2 | 0.1 | 11.1 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:true:false | 16 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 311 | 264 (2/2/0/0/248) | 0.1 | 14.2 / 15.0 | 0.2 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:true:false | 12 | 1 | 0 | 2 | 10.00 | 3 | 1 | 30 | 303 | 258 (2/2/0/0/248) | 0.1 | 11.1 / 11.8 | 0.1 | 0.1 | 10.6 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:true:false | 14 | 1 | 0 | 2 | 11.00 | 4 | 1 | 32 | 311 | 260 (2/2/0/0/248) | 0.1 | 12.0 / 12.7 | 0.2 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:true:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 309 | 262 (2/2/0/0/248) | 0.1 | 13.0 / 13.7 | 0.2 | 0.2 | 11.1 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:true:false | 16 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 311 | 264 (2/2/0/0/248) | 0.1 | 14.2 / 15.1 | 0.2 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:true:true | 12 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 302 | 258 (2/2/0/0/248) | 0.1 | 11.2 / 11.7 | 0.1 | 0.1 | 10.6 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:true:true | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 306 | 260 (2/2/0/0/248) | 0.1 | 11.8 / 12.4 | 0.2 | 0.1 | 11.1 | 0.5 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:true:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 308 | 262 (2/2/0/0/248) | 0.1 | 13.0 / 13.6 | 0.1 | 0.1 | 11.1 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:true:true | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 310 | 264 (2/2/0/0/248) | 0.1 | 13.9 / 14.4 | 0.1 | 0.1 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:true:true | 45 | 2 | 1 (newton 1) | 5 | 12.40 | 28 | 0 | 192 | 1064 | 757 (3/2/2/0/744) | 0.2 | 34.0 / 13.2 | 0.9 | 0.1 | 37.7 | 2.3 (0.3) | 0.3 | 0.0 | 0.0 | 0 |
| static:4:150000.0:true:true | 14 | 1 | 0 | 2 | 11.00 | 5 | 0 | 24 | 307 | 260 (2/2/0/0/248) | 0.1 | 12.3 / 12.8 | 0.1 | 0.2 | 12.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:true:true | 15 | 1 | 0 | 2 | 10.00 | 4 | 1 | 23 | 304 | 262 (2/2/0/0/248) | 0.1 | 13.5 / 14.1 | 0.1 | 0.1 | 12.6 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:true:true | 16 | 1 | 0 | 2 | 10.00 | 4 | 1 | 23 | 306 | 264 (2/2/0/0/248) | 0.1 | 14.5 / 15.2 | 0.1 | 0.2 | 12.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| 0.05:4:false | 50 | 24 | 5 (newton 2, be-state 3) | 30 | 6.87 | 38 | 19 | 350 | 2117 | 480 (82/82/6/53/248) | 7.9 | 12.6 / 13.3 | 2.9 | 2.0 | 32.5 | 7.0 (1.6) | 7.4 | 0.7 | 0.1 | 0 |
| 0.05:4:true | 32 | 22 | 3 (be-state 3) | 26 | 7.35 | 27 | 22 | 268 | 1714 | 438 (76/76/0/29/248) | 6.2 | 12.7 / 13.1 | 1.8 | 2.0 | 27.2 | 5.3 (1.1) | 6.6 | 0.6 | 0.1 | 0 |
| 0.05:5:false | 53 | 23 | 4 (newton 2, be-state 2) | 30 | 8.53 | 53 | 17 | 418 | 2461 | 474 (82/76/6/51/248) | 6.8 | 29.0 / 30.2 | 3.8 | 1.6 | 32.1 | 8.2 (1.9) | 7.1 | 0.7 | 0.1 | 0 |
| 0.05:5:true | 37 | 22 | 3 (be-state 3) | 27 | 7.96 | 38 | 21 | 336 | 2058 | 443 (79/76/0/29/248) | 5.9 | 12.9 / 13.3 | 6.0 | 0.8 | 29.5 | 7.0 (1.7) | 6.8 | 0.7 | 0.1 | 0 |
| 0.05:6:false | 41 | 23 | 4 (newton 2, be-state 2) | 31 | 8.26 | 48 | 19 | 401 | 2365 | 472 (85/76/6/44/248) | 6.7 | 14.1 / 14.7 | 6.5 | 0.9 | 32.5 | 8.3 (2.0) | 7.3 | 0.7 | 0.1 | 0 |
| 0.05:6:true | 31 | 22 | 3 (newton 2, be-state 1) | 29 | 8.10 | 42 | 19 | 326 | 2063 | 445 (79/70/6/29/248) | 6.1 | 14.4 / 14.8 | 1.5 | 0.8 | 29.5 | 6.6 (1.5) | 6.8 | 0.6 | 0.1 | 0 |
| 0.02:4:false | 23 | 15 | 0 | 16 | 8.25 | 14 | 13 | 158 | 1074 | 379 (46/46/0/30/248) | 3.9 | 12.9 / 13.5 | 0.6 | 0.7 | 21.3 | 2.8 (0.5) | 4.0 | 0.4 | 0.1 | 0 |
