| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 47 | 25 | 6 | newton 4, be-state 2 | 32 | 1.28 | 7.38 | 95 | 36 | 0.4 | 0/0 | 0 | 1/248 | 495 | 33 |
| 0.05:4:true | 30 | 23 | 4 | newton 1, be-state 3 | 28 | 1.22 | 6.82 | 131 | 34 | 0.4 | 0/0 | 0 | 1/248 | 440 | 29 |
| 0.05:5:false | 32 | 25 | 5 | newton 3, be-state 2 | 32 | 1.28 | 7.63 | 116 | 45 | 0.4 | 0/0 | 0 | 1/248 | 492 | 32 |
| 0.05:5:true | 36 | 22 | 3 | be-state 3 | 28 | 1.27 | 7.86 | 123 | 41 | 0.4 | 0/0 | 0 | 1/248 | 438 | 30 |
| 0.05:6:false | 90 | 24 | 4 | newton 1, be-state 3 | 33 | 1.38 | 6.91 | 20 | 27 | 0.4 | 0/0 | 0 | 5/1240 | 1473 | 77 |
| 0.05:6:true | 33 | 23 | 4 | newton 3, be-state 1 | 31 | 1.35 | 7.10 | 116 | 40 | 0.6 | 0/0 | 0 | 1/248 | 456 | 31 |
| 0.02:4:false | 24 | 15 | 1 | newton 1 | 17 | 1.13 | 8.06 | 35 | 16 | 0.2 | 0/0 | 0 | 1/248 | 384 | 22 |
| 0.02:4:true | 20 | 15 | 0 | - | 16 | 1.07 | 7.63 | 4 | 16 | 0.2 | 0/0 | 0 | 1/248 | 365 | 21 |
| 0.02:5:false | 29 | 19 | 3 | newton 3 | 24 | 1.26 | 9.17 | 61 | 36 | 0.5 | 0/0 | 0 | 1/248 | 434 | 28 |
| 0.02:5:true | 21 | 15 | 0 | - | 17 | 1.13 | 8.41 | 54 | 21 | 0.2 | 0/0 | 0 | 1/248 | 370 | 23 |
| 0.02:6:false | 26 | 17 | 1 | newton 1 | 22 | 1.29 | 8.82 | 55 | 30 | 0.3 | 0/0 | 0 | 1/248 | 413 | 26 |
| 0.02:6:true | 22 | 15 | 0 | - | 19 | 1.27 | 7.58 | 32 | 24 | 0.2 | 0/0 | 0 | 1/248 | 378 | 23 |
| transient total | 410 | 238 | 31 | newton 17, be-state 14 | 299 | 1.26 | 7.69 | 842 | 366 | 4.3 | 0/0 | 0 | 16/3968 | 6138 | 374 |
| static total (32 cases) | 749 | 41 | 9 | newton 9 | 84 | 2.05 | 10.21 | 648 | 207 | 11.9 | 0/0 | 0 | 44/10912 | 11354 | 510 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 110 | 1 | 0 | 2 | 8.00 | 3 | 1 | 18 | 291 | 258 (2/2/0/0/248) | 0.4 | 33.3 / 61.6 | 6.6 | 1.7 | 17.2 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 27 | 1 | 0 | 2 | 9.00 | 3 | 1 | 28 | 303 | 260 (2/2/0/0/248) | 0.2 | 22.3 / 24.0 | 0.7 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.2 | 15.4 / 17.3 | 0.6 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 308 | 264 (2/2/0/0/248) | 0.2 | 16.9 / 18.3 | 0.4 | 0.2 | 11.4 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 18 | 291 | 258 (2/2/0/0/248) | 0.1 | 13.3 / 14.2 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 296 | 260 (2/2/0/0/248) | 0.1 | 12.3 / 13.2 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 11.50 | 4 | 1 | 33 | 314 | 262 (2/2/0/0/248) | 0.1 | 13.2 / 14.2 | 0.4 | 0.1 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 33 | 1 | 0 | 2 | 8.50 | 6 | 1 | 40 | 577 | 511 (2/1/0/0/496) | 0.1 | 29.6 / 15.9 | 0.7 | 0.1 | 21.8 | 0.4 (0.1) | 0.1 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.2 | 11.5 / 12.6 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.1 | 12.3 / 13.2 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
