| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 45 | 22 | 3 | be-state 3 | 28 | 1.27 | 6.86 | 34 | 29 | 0.6 | 0/0 | 0 | 1/248 | 462 | 30 |
| 0.05:4:true | 35 | 22 | 3 | be-state 3 | 28 | 1.27 | 6.96 | 70 | 34 | 0.5 | 0/0 | 0 | 1/248 | 439 | 28 |
| 0.05:5:false | 38 | 23 | 3 | newton 1, be-state 2 | 31 | 1.35 | 7.87 | 77 | 50 | 0.6 | 0/0 | 0 | 1/248 | 467 | 31 |
| 0.05:5:true | 185 | 219 | 201 | newton 198, be-state 3 | 425 | 1.94 | 4.14 | 224 | 47 | 1.2 | 0/0 | 0 | 1/248 | 3206 | 210 |
| 0.05:6:false | 50 | 23 | 3 | newton 1, be-state 2 | 30 | 1.30 | 7.47 | 47 | 43 | 0.7 | 0/0 | 0 | 1/248 | 466 | 31 |
| 0.05:6:true | 31 | 23 | 4 | newton 1, be-state 3 | 32 | 1.39 | 7.25 | 55 | 40 | 0.5 | 0/0 | 0 | 1/248 | 468 | 31 |
| 0.02:4:false | 22 | 15 | 0 | - | 16 | 1.07 | 8.19 | 19 | 15 | 0.1 | 0/0 | 0 | 1/248 | 379 | 21 |
| 0.02:4:true | 22 | 15 | 0 | - | 16 | 1.07 | 8.00 | 1 | 17 | 0.2 | 0/0 | 0 | 1/248 | 365 | 21 |
| 0.02:5:false | 25 | 16 | 0 | - | 18 | 1.13 | 8.78 | 34 | 20 | 0.3 | 0/0 | 0 | 1/248 | 392 | 23 |
| 0.02:5:true | 26 | 15 | 0 | - | 17 | 1.13 | 8.29 | 57 | 18 | 0.3 | 0/0 | 0 | 1/248 | 370 | 22 |
| 0.02:6:false | 27 | 16 | 0 | - | 20 | 1.25 | 8.20 | 7 | 24 | 0.3 | 0/0 | 0 | 1/248 | 400 | 24 |
| 0.02:6:true | 29 | 15 | 0 | - | 19 | 1.27 | 7.58 | 5 | 19 | 0.3 | 0/0 | 0 | 1/248 | 378 | 23 |
| transient total | 535 | 424 | 217 | newton 201, be-state 16 | 680 | 1.60 | 5.46 | 630 | 356 | 5.5 | 0/0 | 0 | 12/2976 | 7792 | 494 |
| static total (32 cases) | 702 | 35 | 3 | newton 3 | 72 | 2.06 | 10.14 | 432 | 158 | 15.4 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 114 | 1 | 0 | 2 | 9.00 | 3 | 1 | 20 | 293 | 258 (2/2/0/0/248) | 0.6 | 33.6 / 66.6 | 10.3 | 2.3 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 26 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 20.7 / 22.5 | 0.8 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 30 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 300 | 262 (2/2/0/0/248) | 0.2 | 24.3 / 26.6 | 0.9 | 0.4 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 23 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 302 | 264 (2/2/0/0/248) | 0.2 | 17.7 / 19.7 | 0.5 | 0.3 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 21 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.2 | 17.3 / 19.4 | 0.5 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 20 | 1 | 0 | 2 | 10.00 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 16.2 / 17.6 | 0.4 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 18 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 14.7 / 16.4 | 0.5 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 10.00 | 5 | 1 | 31 | 318 | 264 (2/2/0/0/248) | 0.1 | 14.4 / 15.9 | 0.6 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.2 | 10.7 / 11.7 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 12.5 / 14.0 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 17 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 300 | 262 (2/2/0/0/248) | 0.2 | 14.4 / 15.6 | 0.3 | 0.3 | 11.1 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 19 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 302 | 264 (2/2/0/0/248) | 0.2 | 15.7 / 17.2 | 0.5 | 0.3 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:true | 18 | 1 | 0 | 3 | 9.00 | 8 | 0 | 65 | 359 | 259 (3/2/0/0/248) | 0.2 | 14.4 / 16.9 | 0.6 | 0.3 | 10.9 | 0.5 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:true | 19 | 1 | 0 | 2 | 10.00 | 3 | 1 | 22 | 297 | 260 (2/2/0/0/248) | 0.2 | 15.3 / 17.1 | 0.3 | 0.4 | 10.8 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:true | 17 | 1 | 0 | 2 | 10.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.2 | 14.6 / 15.6 | 0.3 | 0.2 | 11.1 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:true | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 21 | 300 | 264 (2/2/0/0/248) | 0.2 | 17.2 / 18.4 | 0.3 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:true:false | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 11.6 / 12.5 | 0.3 | 0.2 | 10.5 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:true:false | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.2 | 14.2 / 15.1 | 0.2 | 0.1 | 10.8 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:true:false | 17 | 1 | 0 | 2 | 10.00 | 3 | 1 | 22 | 299 | 262 (2/2/0/0/248) | 0.1 | 15.4 / 16.1 | 0.2 | 0.2 | 11.1 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:true:false | 18 | 1 | 0 | 2 | 9.50 | 3 | 1 | 21 | 300 | 264 (2/2/0/0/248) | 0.1 | 15.9 / 16.7 | 0.2 | 0.2 | 11.4 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:true:false | 12 | 1 | 0 | 2 | 10.00 | 3 | 1 | 22 | 295 | 258 (2/2/0/0/248) | 0.1 | 10.8 / 11.3 | 0.1 | 0.1 | 10.5 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:true:false | 14 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.1 | 12.4 / 13.3 | 0.2 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:true:false | 14 | 1 | 0 | 2 | 9.50 | 3 | 1 | 21 | 298 | 262 (2/2/0/0/248) | 0.1 | 13.0 / 13.6 | 0.1 | 0.1 | 11.1 | 0.2 (0.0) | 0.2 | 0.0 | 0.0 | 0 |
