| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 57 | 25 | 6 | newton 3, be-state 3 | 32 | 1.28 | 9.06 | 118 | 70 | 1.1 | 0/0 | 0 | 1/248 | 484 | 36 |
| 0.05:4:true | 37 | 23 | 4 | newton 1, be-state 3 | 28 | 1.22 | 8.54 | 114 | 59 | 0.6 | 0/0 | 0 | 1/248 | 444 | 30 |
| 0.05:5:false | 67 | 30 | 11 | newton 9, be-state 2 | 43 | 1.43 | 10.60 | 283 | 149 | 1.5 | 0/0 | 0 | 1/248 | 546 | 46 |
| 0.05:5:true | 45 | 23 | 4 | newton 1, be-state 3 | 30 | 1.30 | 8.60 | 136 | 66 | 0.7 | 0/0 | 0 | 1/248 | 453 | 33 |
| 0.05:6:false | 40 | 25 | 5 | newton 3, be-state 2 | 40 | 1.60 | 10.35 | 150 | 81 | 0.9 | 0/0 | 0 | 1/248 | 507 | 39 |
| 0.05:6:true | 38 | 25 | 6 | newton 5, be-state 1 | 41 | 1.64 | 10.29 | 221 | 114 | 1.1 | 0/0 | 0 | 1/248 | 489 | 40 |
| 0.02:4:false | 21 | 15 | 0 | - | 16 | 1.07 | 8.44 | 24 | 17 | 0.2 | 0/0 | 0 | 1/248 | 379 | 22 |
| 0.02:4:true | 30 | 18 | 4 | newton 4 | 23 | 1.28 | 10.48 | 187 | 69 | 0.7 | 0/0 | 0 | 1/248 | 402 | 29 |
| 0.02:5:false | 27 | 17 | 1 | newton 1 | 20 | 1.18 | 10.15 | 101 | 38 | 0.4 | 0/0 | 0 | 1/248 | 405 | 26 |
| 0.02:5:true | 27 | 15 | 0 | - | 17 | 1.13 | 8.71 | 66 | 24 | 0.3 | 0/0 | 0 | 1/248 | 370 | 23 |
| 0.02:6:false | 25 | 16 | 0 | - | 20 | 1.25 | 8.80 | 57 | 27 | 0.3 | 0/0 | 0 | 1/248 | 400 | 25 |
| 0.02:6:true | 26 | 15 | 0 | - | 19 | 1.27 | 8.74 | 41 | 29 | 0.3 | 0/0 | 0 | 1/248 | 378 | 24 |
| transient total | 440 | 247 | 41 | newton 27, be-state 14 | 329 | 1.33 | 9.57 | 1498 | 743 | 8.1 | 0/0 | 0 | 12/2976 | 5257 | 373 |
| static total (32 cases) | 627 | 33 | 1 | newton 1 | 68 | 2.06 | 10.32 | 387 | 141 | 12.1 | 0/0 | 0 | 34/8432 | 8852 | 391 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 108 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.4 | 31.5 / 61.0 | 7.0 | 1.5 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (2/2/0/0/248) | 0.3 | 19.4 / 21.1 | 0.7 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 23 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.2 | 18.5 / 20.4 | 0.8 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 308 | 264 (2/2/0/0/248) | 0.2 | 17.4 / 19.3 | 0.4 | 0.3 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 17 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.1 | 13.7 / 14.8 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 296 | 260 (2/2/0/0/248) | 0.1 | 13.1 / 14.1 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 315 | 262 (2/2/0/0/248) | 0.1 | 13.6 / 14.9 | 0.4 | 0.1 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 19 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 314 | 264 (2/2/0/0/248) | 0.1 | 15.3 / 16.4 | 0.4 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.1 | 11.9 / 12.7 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.1 | 12.8 / 13.8 | 0.4 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
