| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 132 | 160 | 0 | - | 192 | 1.20 | 2.61 | 36 | 66 | 1.1 | 0/0 | 0 | 1/248 | 1366 | 95 |
| 0.05:4:true | 99 | 161 | 1 | newton 1 | 173 | 1.07 | 2.31 | 88 | 55 | 0.7 | 0/0 | 0 | 1/248 | 1291 | 88 |
| 0.05:5:false | 116 | 164 | 4 | newton 4 | 200 | 1.22 | 3.08 | 153 | 133 | 1.8 | 0/0 | 0 | 1/248 | 1410 | 104 |
| 0.05:5:true | 96 | 161 | 1 | newton 1 | 193 | 1.20 | 2.13 | 62 | 82 | 1.1 | 0/0 | 0 | 1/248 | 1344 | 94 |
| 0.05:6:false | 128 | 163 | 3 | newton 3 | 263 | 1.61 | 6.57 | 274 | 150 | 1.9 | 0/0 | 0 | 1/248 | 1585 | 133 |
| 0.05:6:true | 118 | 161 | 1 | newton 1 | 261 | 1.62 | 5.30 | 96 | 56 | 1.5 | 0/0 | 0 | 1/248 | 1550 | 120 |
| 0.02:4:false | 96 | 168 | 10 | newton 10 | 185 | 1.10 | 5.40 | 700 | 93 | 0.9 | 0/0 | 0 | 1/248 | 1613 | 119 |
| 0.02:4:true | 90 | 165 | 6 | newton 6 | 172 | 1.04 | 4.92 | 68 | 44 | 0.6 | 0/0 | 0 | 1/248 | 1452 | 99 |
| 0.02:5:false | 109 | 163 | 3 | newton 3 | 170 | 1.04 | 6.03 | 146 | 81 | 0.9 | 0/0 | 0 | 1/248 | 1528 | 110 |
| 0.02:5:true | 104 | 164 | 4 | newton 4 | 172 | 1.05 | 5.05 | 77 | 49 | 0.9 | 0/0 | 0 | 1/248 | 1432 | 101 |
| 0.02:6:false | 116 | 175 | 17 | newton 17 | 208 | 1.19 | 5.49 | 1232 | 154 | 1.7 | 0/0 | 0 | 1/248 | 1673 | 140 |
| 0.02:6:true | 103 | 165 | 5 | newton 5 | 181 | 1.10 | 5.08 | 249 | 67 | 1.1 | 0/0 | 0 | 1/248 | 1458 | 109 |
| transient total | 1307 | 1970 | 55 | newton 55 | 2370 | 1.20 | 4.57 | 3181 | 1030 | 14.3 | 0/0 | 0 | 12/2976 | 17702 | 1313 |
| static total (32 cases) | 620 | 33 | 1 | newton 1 | 68 | 2.06 | 10.32 | 387 | 141 | 12.3 | 0/0 | 0 | 34/8432 | 8852 | 391 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 110 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.4 | 30.7 / 61.4 | 7.2 | 1.6 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 18 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (2/2/0/0/248) | 0.1 | 14.1 / 15.8 | 0.6 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 19 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.2 | 14.8 / 16.8 | 0.9 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 308 | 264 (2/2/0/0/248) | 0.2 | 17.5 / 19.4 | 0.5 | 0.3 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 16 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.2 | 13.8 / 14.7 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 18 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 296 | 260 (2/2/0/0/248) | 0.2 | 15.4 / 16.5 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 20 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 315 | 262 (2/2/0/0/248) | 0.2 | 16.5 / 17.9 | 0.4 | 0.2 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 314 | 264 (2/2/0/0/248) | 0.2 | 15.1 / 16.3 | 0.5 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.1 | 11.4 / 12.3 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.1 | 12.5 / 13.3 | 0.4 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
