| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 101 | 160 | 0 | - | 163 | 1.02 | 2.53 | 51 | 28 | 0.6 | 0/0 | 0 | 1/248 | 889 | 38 |
| 0.05:4:true | 62 | 161 | 1 | newton 1 | 169 | 1.05 | 1.89 | 36 | 28 | 0.4 | 0/0 | 0 | 1/248 | 831 | 35 |
| 0.05:5:false | 66 | 160 | 0 | - | 165 | 1.03 | 2.63 | 61 | 33 | 0.5 | 0/0 | 0 | 1/248 | 905 | 40 |
| 0.05:5:true | 61 | 160 | 0 | - | 164 | 1.02 | 1.92 | 35 | 20 | 0.3 | 0/0 | 0 | 1/248 | 878 | 37 |
| 0.05:6:false | 72 | 160 | 0 | - | 246 | 1.54 | 6.16 | 38 | 114 | 1.2 | 0/0 | 0 | 1/248 | 785 | 62 |
| 0.05:6:true | 70 | 161 | 1 | newton 1 | 249 | 1.55 | 5.48 | 60 | 73 | 1.0 | 0/0 | 0 | 1/248 | 770 | 58 |
| 0.02:4:false | 68 | 160 | 0 | - | 161 | 1.01 | 5.73 | 7 | 24 | 0.4 | 0/0 | 0 | 1/248 | 1058 | 44 |
| 0.02:4:true | 70 | 198 | 39 | newton 39 | 240 | 1.21 | 3.35 | 30 | 30 | 0.5 | 0/0 | 0 | 1/248 | 1125 | 49 |
| 0.02:5:false | 62 | 160 | 0 | - | 162 | 1.01 | 5.54 | 75 | 34 | 0.5 | 0/0 | 0 | 1/248 | 995 | 46 |
| 0.02:5:true | 60 | 162 | 2 | newton 2 | 166 | 1.02 | 4.96 | 10 | 32 | 0.5 | 0/0 | 0 | 1/248 | 906 | 44 |
| 0.02:6:false | 64 | 161 | 1 | newton 1 | 166 | 1.03 | 5.95 | 65 | 39 | 0.6 | 0/0 | 0 | 1/248 | 1015 | 50 |
| 0.02:6:true | 67 | 165 | 5 | newton 5 | 175 | 1.06 | 4.99 | 51 | 35 | 0.6 | 0/0 | 0 | 1/248 | 943 | 48 |
| transient total | 823 | 1968 | 49 | newton 49 | 2226 | 1.13 | 4.34 | 519 | 490 | 7.0 | 0/0 | 0 | 12/2976 | 11100 | 551 |
| static total (32 cases) | 630 | 33 | 1 | newton 1 | 68 | 2.06 | 10.18 | 358 | 139 | 10.9 | 0/0 | 0 | 34/8432 | 8786 | 133 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 113 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.4 | 35.6 / 62.2 | 6.5 | 1.7 | 8.7 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 30 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 302 | 258 (0/2/0/0/248) | 0.2 | 24.0 / 25.8 | 0.8 | 0.2 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 26 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (0/2/0/0/248) | 0.1 | 21.1 / 23.0 | 0.7 | 0.2 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 26 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (0/2/0/0/248) | 0.1 | 22.0 / 23.7 | 0.4 | 0.2 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 14 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 11.3 / 12.3 | 0.3 | 0.2 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 294 | 258 (0/2/0/0/248) | 0.1 | 11.7 / 12.9 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 313 | 260 (0/2/0/0/248) | 0.1 | 12.7 / 14.1 | 0.4 | 0.2 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 19 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 312 | 262 (0/2/0/0/248) | 0.1 | 14.9 / 16.3 | 0.6 | 0.2 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 12.6 / 14.0 | 0.4 | 0.2 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 18 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (0/2/0/0/248) | 0.1 | 14.8 / 16.1 | 0.6 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
