| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 123 | 160 | 0 | - | 163 | 1.02 | 2.53 | 51 | 28 | 0.6 | 0/0 | 0 | 1/248 | 1376 | 91 |
| 0.05:4:true | 88 | 161 | 1 | newton 1 | 169 | 1.05 | 1.89 | 36 | 28 | 0.5 | 0/0 | 0 | 1/248 | 1336 | 86 |
| 0.05:5:false | 84 | 160 | 0 | - | 165 | 1.03 | 2.63 | 61 | 33 | 0.5 | 0/0 | 0 | 1/248 | 1398 | 93 |
| 0.05:5:true | 79 | 160 | 0 | - | 164 | 1.02 | 1.92 | 35 | 20 | 0.3 | 0/0 | 0 | 1/248 | 1368 | 88 |
| 0.05:6:false | 112 | 160 | 0 | - | 246 | 1.54 | 6.16 | 38 | 114 | 1.5 | 0/0 | 0 | 1/248 | 1521 | 121 |
| 0.05:6:true | 104 | 161 | 1 | newton 1 | 249 | 1.55 | 5.48 | 60 | 73 | 1.1 | 0/0 | 0 | 1/248 | 1515 | 118 |
| 0.02:4:false | 83 | 160 | 0 | - | 161 | 1.01 | 5.73 | 7 | 24 | 0.5 | 0/0 | 0 | 1/248 | 1539 | 101 |
| 0.02:4:true | 99 | 198 | 39 | newton 39 | 240 | 1.21 | 3.35 | 30 | 30 | 0.5 | 0/0 | 0 | 1/248 | 1843 | 120 |
| 0.02:5:false | 90 | 160 | 0 | - | 162 | 1.01 | 5.54 | 75 | 34 | 0.7 | 0/0 | 0 | 1/248 | 1479 | 102 |
| 0.02:5:true | 105 | 162 | 2 | newton 2 | 166 | 1.02 | 4.96 | 10 | 32 | 0.6 | 0/0 | 0 | 1/248 | 1402 | 97 |
| 0.02:6:false | 86 | 161 | 1 | newton 1 | 166 | 1.03 | 5.95 | 65 | 39 | 0.6 | 0/0 | 0 | 1/248 | 1508 | 107 |
| 0.02:6:true | 78 | 165 | 5 | newton 5 | 175 | 1.06 | 4.99 | 51 | 35 | 0.5 | 0/0 | 0 | 1/248 | 1466 | 104 |
| transient total | 1131 | 1968 | 49 | newton 49 | 2226 | 1.13 | 4.34 | 519 | 490 | 8.0 | 0/0 | 0 | 12/2976 | 17751 | 1229 |
| static total (32 cases) | 625 | 33 | 1 | newton 1 | 68 | 2.06 | 10.18 | 358 | 139 | 12.7 | 0/0 | 0 | 34/8432 | 8852 | 391 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 103 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.3 | 29.0 / 60.2 | 8.3 | 1.6 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 19 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (2/2/0/0/248) | 0.2 | 14.2 / 15.9 | 0.7 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (2/2/0/0/248) | 0.2 | 15.5 / 17.2 | 1.0 | 0.2 | 11.3 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 308 | 264 (2/2/0/0/248) | 0.3 | 16.2 / 18.1 | 0.4 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 16 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.2 | 13.3 / 14.5 | 0.3 | 0.2 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 296 | 260 (2/2/0/0/248) | 0.1 | 12.5 / 13.6 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 18 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 315 | 262 (2/2/0/0/248) | 0.1 | 14.8 / 16.4 | 0.4 | 0.2 | 11.2 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 314 | 264 (2/2/0/0/248) | 0.1 | 14.9 / 16.3 | 0.6 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 292 | 258 (2/2/0/0/248) | 0.2 | 11.4 / 12.3 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 15 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 300 | 260 (2/2/0/0/248) | 0.2 | 12.4 / 13.4 | 0.4 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
