| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 54 | 25 | 6 | newton 3, be-state 3 | 32 | 1.28 | 9.06 | 118 | 70 | 0.9 | 0/0 | 0 | 1/248 | 399 | 18 |
| 0.05:4:true | 33 | 23 | 4 | newton 1, be-state 3 | 28 | 1.22 | 8.54 | 114 | 59 | 0.8 | 0/0 | 0 | 1/248 | 365 | 15 |
| 0.05:5:false | 55 | 30 | 11 | newton 9, be-state 2 | 43 | 1.43 | 10.60 | 283 | 149 | 1.5 | 0/0 | 0 | 1/248 | 446 | 27 |
| 0.05:5:true | 43 | 23 | 4 | newton 1, be-state 3 | 30 | 1.30 | 8.60 | 136 | 66 | 0.7 | 0/0 | 0 | 1/248 | 368 | 16 |
| 0.05:6:false | 35 | 25 | 5 | newton 3, be-state 2 | 40 | 1.60 | 10.35 | 150 | 81 | 0.9 | 0/0 | 0 | 1/248 | 395 | 20 |
| 0.05:6:true | 33 | 25 | 6 | newton 5, be-state 1 | 41 | 1.64 | 10.29 | 221 | 114 | 1.1 | 0/0 | 0 | 1/248 | 383 | 23 |
| 0.02:4:false | 21 | 15 | 0 | - | 16 | 1.07 | 8.44 | 24 | 17 | 0.2 | 0/0 | 0 | 1/248 | 333 | 8 |
| 0.02:4:true | 25 | 18 | 4 | newton 4 | 23 | 1.28 | 10.48 | 187 | 69 | 0.5 | 0/0 | 0 | 1/248 | 347 | 15 |
| 0.02:5:false | 25 | 17 | 1 | newton 1 | 20 | 1.18 | 10.15 | 101 | 38 | 0.5 | 0/0 | 0 | 1/248 | 350 | 12 |
| 0.02:5:true | 22 | 15 | 0 | - | 17 | 1.13 | 8.71 | 66 | 24 | 0.3 | 0/0 | 0 | 1/248 | 321 | 10 |
| 0.02:6:false | 23 | 16 | 0 | - | 20 | 1.25 | 8.80 | 57 | 27 | 0.3 | 0/0 | 0 | 1/248 | 342 | 11 |
| 0.02:6:true | 27 | 15 | 0 | - | 19 | 1.27 | 8.74 | 41 | 29 | 0.4 | 0/0 | 0 | 1/248 | 323 | 10 |
| transient total | 396 | 247 | 41 | newton 27, be-state 14 | 329 | 1.33 | 9.57 | 1498 | 743 | 8.2 | 0/0 | 0 | 12/2976 | 4372 | 185 |
| static total (32 cases) | 609 | 33 | 1 | newton 1 | 68 | 2.06 | 10.32 | 387 | 141 | 11.2 | 0/0 | 0 | 34/8432 | 8786 | 133 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 100 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.2 | 28.5 / 54.1 | 6.3 | 2.1 | 8.6 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 24 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 302 | 258 (0/2/0/0/248) | 0.2 | 18.5 / 20.5 | 1.0 | 0.2 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 22 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (0/2/0/0/248) | 0.1 | 17.7 / 19.4 | 0.6 | 0.2 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 22 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (0/2/0/0/248) | 0.1 | 18.3 / 20.1 | 0.5 | 0.3 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 11.5 / 12.9 | 0.4 | 0.2 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 294 | 258 (0/2/0/0/248) | 0.1 | 12.2 / 13.3 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 313 | 260 (0/2/0/0/248) | 0.1 | 12.7 / 13.9 | 0.4 | 0.2 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 18 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 312 | 262 (0/2/0/0/248) | 0.1 | 15.4 / 16.5 | 0.4 | 0.2 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 12 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 10.3 / 10.9 | 0.2 | 0.1 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (0/2/0/0/248) | 0.1 | 11.5 / 12.4 | 0.5 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 16 | 1 | 0 | 2 | 10.00 | 3 | 1 | 30 | 305 | 260 (0/2/0/0/248) | 0.1 | 13.5 / 14.5 | 0.3 | 0.2 | 3.8 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 16 | 1 | 0 | 2 | 8.50 | 3 | 1 | 22 | 299 | 262 (0/2/0/0/248) | 0.1 | 13.9 / 14.8 | 0.2 | 0.3 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:true | 14 | 1 | 0 | 3 | 9.00 | 8 | 0 | 65 | 356 | 256 (0/2/0/0/248) | 0.1 | 11.0 / 12.8 | 0.5 | 0.3 | 3.6 | 0.5 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:true | 15 | 1 | 0 | 2 | 10.00 | 5 | 1 | 25 | 306 | 258 (0/2/0/0/248) | 0.1 | 12.5 / 13.5 | 0.4 | 0.2 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:true | 15 | 1 | 0 | 2 | 14.50 | 6 | 1 | 68 | 355 | 260 (0/2/0/0/248) | 0.1 | 12.8 / 13.7 | 0.4 | 0.2 | 4.0 | 0.5 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:true | 16 | 1 | 0 | 2 | 8.50 | 3 | 1 | 22 | 299 | 262 (0/2/0/0/248) | 0.1 | 14.0 / 15.1 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:true:false | 12 | 1 | 0 | 2 | 10.00 | 3 | 1 | 29 | 300 | 256 (0/2/0/0/248) | 0.1 | 10.6 / 11.2 | 0.2 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:true:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 305 | 258 (0/2/0/0/248) | 0.1 | 12.9 / 13.5 | 0.2 | 0.1 | 3.6 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:true:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 307 | 260 (0/2/0/0/248) | 0.1 | 13.5 / 14.2 | 0.2 | 0.1 | 3.8 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:true:false | 16 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 309 | 262 (0/2/0/0/248) | 0.1 | 14.1 / 15.0 | 0.2 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:true:false | 11 | 1 | 0 | 2 | 10.00 | 3 | 1 | 30 | 301 | 256 (0/2/0/0/248) | 0.1 | 10.5 / 10.9 | 0.1 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:true:false | 13 | 1 | 0 | 2 | 11.00 | 4 | 1 | 32 | 309 | 258 (0/2/0/0/248) | 0.1 | 11.5 / 12.2 | 0.2 | 0.1 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:true:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 307 | 260 (0/2/0/0/248) | 0.1 | 12.7 / 13.3 | 0.2 | 0.2 | 3.8 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:true:false | 17 | 1 | 0 | 2 | 11.00 | 3 | 1 | 32 | 309 | 262 (0/2/0/0/248) | 0.1 | 15.0 / 16.1 | 0.2 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:true:true | 12 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 300 | 256 (0/2/0/0/248) | 0.1 | 10.6 / 11.0 | 0.1 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:true:true | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 304 | 258 (0/2/0/0/248) | 0.1 | 11.5 / 12.0 | 0.2 | 0.2 | 3.8 | 0.5 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:true:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 306 | 260 (0/2/0/0/248) | 0.1 | 13.1 / 13.9 | 0.2 | 0.2 | 3.8 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:true:true | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 31 | 308 | 262 (0/2/0/0/248) | 0.1 | 13.8 / 14.4 | 0.2 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:true:true | 45 | 2 | 1 (newton 1) | 5 | 14.40 | 30 | 0 | 231 | 1107 | 754 (0/2/2/0/744) | 0.2 | 33.1 / 13.8 | 1.1 | 0.1 | 12.8 | 2.5 (0.4) | 0.0 | 0.0 | 0.0 | 1 |
| static:4:150000.0:true:true | 13 | 1 | 0 | 2 | 11.00 | 5 | 0 | 24 | 305 | 258 (0/2/0/0/248) | 0.1 | 11.7 / 12.4 | 0.1 | 0.1 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:true:true | 15 | 1 | 0 | 2 | 10.00 | 4 | 1 | 23 | 302 | 260 (0/2/0/0/248) | 0.1 | 13.1 / 13.8 | 0.1 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:true:true | 16 | 1 | 0 | 2 | 10.00 | 4 | 1 | 23 | 304 | 262 (0/2/0/0/248) | 0.1 | 13.9 / 14.6 | 0.1 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| 0.05:4:false | 54 | 25 | 6 (newton 3, be-state 3) | 32 | 9.06 | 70 | 22 | 440 | 2689 | 399 (0/85/9/48/248) | 4.6 | 12.4 / 13.3 | 4.7 | 2.1 | 18.3 | 9.9 (2.8) | 0.7 | 0.7 | 0.1 | 27 |
| 0.05:4:true | 33 | 23 | 4 (newton 1, be-state 3) | 28 | 8.54 | 59 | 19 | 381 | 2370 | 365 (0/79/3/26/248) | 3.3 | 12.2 / 12.7 | 3.4 | 1.8 | 14.8 | 8.5 (2.4) | 0.6 | 0.7 | 0.1 | 23 |
| 0.05:5:false | 55 | 30 | 11 (newton 9, be-state 2) | 43 | 10.60 | 149 | 24 | 782 | 4722 | 446 (0/97/27/63/248) | 6.3 | 13.8 / 15.2 | 10.8 | 2.3 | 26.7 | 18.4 (5.7) | 1.0 | 0.8 | 0.1 | 37 |
| 0.05:5:true | 43 | 23 | 4 (newton 1, be-state 3) | 30 | 8.60 | 66 | 20 | 424 | 2589 | 368 (0/79/3/27/248) | 3.6 | 13.3 / 13.7 | 10.3 | 1.0 | 16.4 | 9.6 (2.8) | 0.6 | 0.7 | 0.1 | 23 |
| 0.05:6:false | 35 | 25 | 5 (newton 3, be-state 2) | 40 | 10.35 | 81 | 28 | 604 | 3308 | 395 (0/85/6/43/248) | 4.4 | 14.1 / 14.7 | 3.0 | 1.1 | 20.0 | 12.3 (2.9) | 0.7 | 0.8 | 0.1 | 26 |
| 0.05:6:true | 33 | 25 | 6 (newton 5, be-state 1) | 41 | 10.29 | 114 | 25 | 684 | 3961 | 383 (0/79/15/28/248) | 3.8 | 14.0 / 14.5 | 3.3 | 0.9 | 22.5 | 14.9 (4.0) | 0.7 | 0.7 | 0.1 | 27 |
| 0.02:4:false | 21 | 15 | 0 | 16 | 8.44 | 17 | 14 | 175 | 1115 | 333 (0/46/0/30/248) | 2.6 | 12.2 / 12.7 | 0.7 | 0.7 | 8.3 | 3.1 (0.6) | 0.3 | 0.4 | 0.1 | 14 |
