| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 104 | 160 | 0 | - | 192 | 1.20 | 2.61 | 36 | 66 | 1.1 | 0/0 | 0 | 1/248 | 792 | 42 |
| 0.05:4:true | 72 | 161 | 1 | newton 1 | 173 | 1.07 | 2.31 | 88 | 55 | 0.7 | 0/0 | 0 | 1/248 | 777 | 38 |
| 0.05:5:false | 74 | 164 | 4 | newton 4 | 200 | 1.22 | 3.08 | 153 | 133 | 1.5 | 0/0 | 0 | 1/248 | 824 | 49 |
| 0.05:5:true | 59 | 161 | 1 | newton 1 | 193 | 1.20 | 2.13 | 62 | 82 | 0.9 | 0/0 | 0 | 1/248 | 770 | 42 |
| 0.05:6:false | 78 | 163 | 3 | newton 3 | 263 | 1.61 | 6.57 | 274 | 150 | 1.6 | 0/0 | 0 | 1/248 | 807 | 71 |
| 0.05:6:true | 74 | 161 | 1 | newton 1 | 261 | 1.62 | 5.30 | 96 | 56 | 1.0 | 0/0 | 0 | 1/248 | 772 | 59 |
| 0.02:4:false | 86 | 168 | 10 | newton 10 | 185 | 1.10 | 5.40 | 700 | 93 | 1.2 | 0/0 | 0 | 1/248 | 1090 | 59 |
| 0.02:4:true | 63 | 165 | 6 | newton 6 | 172 | 1.04 | 4.92 | 68 | 44 | 0.7 | 0/0 | 0 | 1/248 | 941 | 44 |
| 0.02:5:false | 74 | 163 | 3 | newton 3 | 170 | 1.04 | 6.03 | 146 | 81 | 1.0 | 0/0 | 0 | 1/248 | 1029 | 52 |
| 0.02:5:true | 62 | 164 | 4 | newton 4 | 172 | 1.05 | 5.05 | 77 | 49 | 0.8 | 0/0 | 0 | 1/248 | 918 | 47 |
| 0.02:6:false | 84 | 175 | 17 | newton 17 | 208 | 1.19 | 5.49 | 1232 | 154 | 1.6 | 0/0 | 0 | 1/248 | 1102 | 77 |
| 0.02:6:true | 67 | 165 | 5 | newton 5 | 181 | 1.10 | 5.08 | 249 | 67 | 0.9 | 0/0 | 0 | 1/248 | 929 | 53 |
| transient total | 897 | 1970 | 55 | newton 55 | 2370 | 1.20 | 4.57 | 3181 | 1030 | 12.9 | 0/0 | 0 | 12/2976 | 10751 | 632 |
| static total (32 cases) | 581 | 33 | 1 | newton 1 | 68 | 2.06 | 10.32 | 387 | 141 | 11.6 | 0/0 | 0 | 34/8432 | 8786 | 133 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 104 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.3 | 32.8 / 59.0 | 7.6 | 1.6 | 8.6 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 18 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 302 | 258 (0/2/0/0/248) | 0.1 | 14.5 / 16.1 | 0.6 | 0.2 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 19 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (0/2/0/0/248) | 0.1 | 15.7 / 17.1 | 0.7 | 0.2 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 20 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (0/2/0/0/248) | 0.1 | 16.2 / 17.8 | 0.4 | 0.2 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 14 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 11.5 / 12.3 | 0.3 | 0.2 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 294 | 258 (0/2/0/0/248) | 0.1 | 12.0 / 13.5 | 0.4 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 313 | 260 (0/2/0/0/248) | 0.1 | 12.6 / 13.7 | 0.4 | 0.1 | 3.9 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 16 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 312 | 262 (0/2/0/0/248) | 0.1 | 13.8 / 14.7 | 0.4 | 0.1 | 4.1 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 11 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 10.2 / 10.8 | 0.2 | 0.1 | 3.3 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (0/2/0/0/248) | 0.1 | 11.4 / 12.1 | 0.3 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
