| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 46 | 22 | 3 | be-state 3 | 26 | 1.18 | 8.23 | 27 | 31 | 0.5 | 0/0 | 0 | 1/248 | 445 | 13 |
| 0.05:4:true | 29 | 22 | 3 | be-state 3 | 28 | 1.27 | 7.50 | 48 | 36 | 0.4 | 0/0 | 0 | 1/248 | 444 | 12 |
| 0.05:5:false | 34 | 23 | 3 | newton 1, be-state 2 | 29 | 1.26 | 8.66 | 81 | 54 | 0.6 | 0/0 | 0 | 1/248 | 461 | 15 |
| 0.05:5:true | 30 | 22 | 3 | newton 1, be-state 2 | 30 | 1.36 | 8.27 | 54 | 43 | 0.5 | 0/0 | 0 | 1/248 | 449 | 14 |
| 0.05:6:false | 38 | 24 | 4 | newton 2, be-state 2 | 32 | 1.33 | 8.63 | 65 | 56 | 0.6 | 0/0 | 0 | 1/248 | 486 | 16 |
| 0.05:6:true | 42 | 22 | 3 | be-state 3 | 30 | 1.36 | 8.57 | 44 | 43 | 0.5 | 0/0 | 0 | 1/248 | 454 | 14 |
| 0.02:4:false | 20 | 15 | 0 | - | 16 | 1.07 | 8.75 | 19 | 15 | 0.2 | 0/0 | 0 | 1/248 | 379 | 8 |
| 0.02:4:true | 20 | 15 | 0 | - | 16 | 1.07 | 8.75 | 1 | 18 | 0.2 | 0/0 | 0 | 1/248 | 365 | 8 |
| 0.02:5:false | 21 | 16 | 0 | - | 18 | 1.13 | 9.50 | 35 | 22 | 0.3 | 0/0 | 0 | 1/248 | 392 | 10 |
| 0.02:5:true | 23 | 15 | 0 | - | 17 | 1.13 | 8.76 | 57 | 19 | 0.3 | 0/0 | 0 | 1/248 | 370 | 10 |
| 0.02:6:false | 25 | 16 | 0 | - | 20 | 1.25 | 8.70 | 7 | 24 | 0.3 | 0/0 | 0 | 1/248 | 400 | 10 |
| 0.02:6:true | 24 | 15 | 0 | - | 19 | 1.27 | 8.32 | 5 | 20 | 0.3 | 0/0 | 0 | 1/248 | 378 | 10 |
| transient total | 352 | 227 | 19 | newton 4, be-state 15 | 281 | 1.24 | 8.50 | 443 | 381 | 4.6 | 0/0 | 0 | 12/2976 | 5023 | 140 |
| static total (32 cases) | 624 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.1 | 0/0 | 0 | 36/8928 | 9354 | 139 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 100 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.5 | 29.3 / 56.7 | 7.2 | 2.5 | 8.5 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 23 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.2 | 18.4 / 20.2 | 0.7 | 0.2 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 24 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.2 | 19.2 / 20.8 | 0.7 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.2 | 16.7 / 18.2 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 12.8 / 13.8 | 0.3 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 11.9 / 12.9 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 12.6 / 13.6 | 0.3 | 0.1 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 17 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.1 | 13.8 / 14.9 | 0.5 | 0.2 | 4.0 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 12 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 10.2 / 11.0 | 0.3 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.1 | 11.4 / 12.1 | 0.4 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 300 | 262 (2/2/0/0/248) | 0.1 | 12.7 / 13.3 | 0.2 | 0.1 | 3.7 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 302 | 264 (2/2/0/0/248) | 0.1 | 13.8 / 14.7 | 0.2 | 0.2 | 3.9 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
