| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 113 | 160 | 0 | - | 163 | 1.02 | 3.22 | 25 | 55 | 0.8 | 0/0 | 0 | 1/248 | 1298 | 43 |
| 0.05:4:true | 78 | 160 | 0 | - | 165 | 1.03 | 2.10 | 86 | 35 | 0.5 | 0/0 | 0 | 1/248 | 1278 | 38 |
| 0.05:5:false | 80 | 160 | 0 | - | 162 | 1.01 | 2.56 | 38 | 27 | 0.4 | 0/0 | 0 | 1/248 | 1337 | 41 |
| 0.05:5:true | 78 | 160 | 0 | - | 167 | 1.04 | 2.07 | 61 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1290 | 40 |
| 0.05:6:false | 101 | 160 | 0 | - | 246 | 1.54 | 8.32 | 15 | 135 | 1.6 | 0/0 | 0 | 1/248 | 1520 | 72 |
| 0.05:6:true | 104 | 161 | 1 | newton 1 | 273 | 1.70 | 5.59 | 175 | 63 | 1.2 | 0/0 | 0 | 1/248 | 1584 | 66 |
| 0.02:4:false | 76 | 160 | 0 | - | 163 | 1.02 | 6.02 | 12 | 30 | 0.7 | 0/0 | 0 | 1/248 | 1545 | 47 |
| 0.02:4:true | 68 | 160 | 0 | - | 163 | 1.02 | 5.42 | 2 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1386 | 44 |
| 0.02:5:false | 76 | 160 | 0 | - | 162 | 1.01 | 5.89 | 33 | 37 | 0.7 | 0/0 | 0 | 1/248 | 1491 | 48 |
| 0.02:5:true | 67 | 160 | 0 | - | 164 | 1.02 | 5.74 | 31 | 29 | 0.5 | 0/0 | 0 | 1/248 | 1391 | 47 |
| 0.02:6:false | 78 | 161 | 1 | newton 1 | 166 | 1.03 | 6.27 | 30 | 43 | 0.5 | 0/0 | 0 | 1/248 | 1508 | 52 |
| 0.02:6:true | 75 | 160 | 0 | - | 164 | 1.02 | 6.28 | 10 | 36 | 0.5 | 0/0 | 0 | 1/248 | 1384 | 51 |
| transient total | 994 | 1922 | 2 | newton 2 | 2158 | 1.12 | 5.11 | 518 | 560 | 8.6 | 0/0 | 0 | 12/2976 | 17012 | 589 |
| static total (32 cases) | 601 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 12.3 | 0/0 | 0 | 36/8928 | 9354 | 139 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 94 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.3 | 28.5 / 55.7 | 7.9 | 1.6 | 8.5 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 17 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.1 | 13.5 / 15.0 | 0.7 | 0.2 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 19 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.1 | 15.2 / 16.7 | 0.6 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.2 | 17.0 / 18.6 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 16 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 13.2 / 14.2 | 0.3 | 0.1 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 11.7 / 12.6 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.1 | 12.7 / 13.7 | 0.3 | 0.1 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 16 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.1 | 13.8 / 14.8 | 0.5 | 0.2 | 4.0 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 10.6 / 11.6 | 0.3 | 0.2 | 3.3 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.1 | 11.4 / 12.1 | 0.2 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:true | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 300 | 262 (2/2/0/0/248) | 0.1 | 12.6 / 13.2 | 0.2 | 0.2 | 3.7 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:true | 15 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 302 | 264 (2/2/0/0/248) | 0.1 | 13.7 / 14.3 | 0.2 | 0.1 | 3.9 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:true | 12 | 1 | 0 | 3 | 9.67 | 8 | 0 | 67 | 361 | 259 (3/2/0/0/248) | 0.1 | 10.7 / 11.9 | 0.4 | 0.1 | 3.5 | 0.5 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:true | 13 | 1 | 0 | 2 | 10.00 | 3 | 1 | 22 | 297 | 260 (2/2/0/0/248) | 0.1 | 11.5 / 12.2 | 0.2 | 0.1 | 3.5 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
