| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 111 | 160 | 0 | - | 163 | 1.02 | 3.22 | 25 | 55 | 0.7 | 0/0 | 0 | 1/248 | 1298 | 90 |
| 0.05:4:true | 84 | 160 | 0 | - | 165 | 1.03 | 2.10 | 86 | 35 | 0.5 | 0/0 | 0 | 1/248 | 1278 | 85 |
| 0.05:5:false | 79 | 160 | 0 | - | 162 | 1.01 | 2.56 | 38 | 27 | 0.4 | 0/0 | 0 | 1/248 | 1337 | 89 |
| 0.05:5:true | 78 | 160 | 0 | - | 167 | 1.04 | 2.07 | 61 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1290 | 87 |
| 0.05:6:false | 104 | 160 | 0 | - | 246 | 1.54 | 8.32 | 15 | 135 | 1.6 | 0/0 | 0 | 1/248 | 1520 | 130 |
| 0.05:6:true | 94 | 161 | 1 | newton 1 | 273 | 1.70 | 5.59 | 175 | 63 | 1.1 | 0/0 | 0 | 1/248 | 1584 | 126 |
| 0.02:4:false | 83 | 160 | 0 | - | 163 | 1.02 | 6.02 | 12 | 30 | 0.6 | 0/0 | 0 | 1/248 | 1545 | 103 |
| 0.02:4:true | 79 | 160 | 0 | - | 163 | 1.02 | 5.42 | 2 | 35 | 0.6 | 0/0 | 0 | 1/248 | 1386 | 95 |
| 0.02:5:false | 77 | 160 | 0 | - | 162 | 1.01 | 5.89 | 33 | 37 | 0.5 | 0/0 | 0 | 1/248 | 1491 | 103 |
| 0.02:5:true | 77 | 160 | 0 | - | 164 | 1.02 | 5.74 | 31 | 29 | 0.5 | 0/0 | 0 | 1/248 | 1391 | 98 |
| 0.02:6:false | 80 | 161 | 1 | newton 1 | 166 | 1.03 | 6.27 | 30 | 43 | 0.5 | 0/0 | 0 | 1/248 | 1508 | 107 |
| 0.02:6:true | 77 | 160 | 0 | - | 164 | 1.02 | 6.28 | 10 | 36 | 0.5 | 0/0 | 0 | 1/248 | 1384 | 101 |
| transient total | 1023 | 1922 | 2 | newton 2 | 2158 | 1.12 | 5.11 | 518 | 560 | 8.2 | 0/0 | 0 | 12/2976 | 17012 | 1213 |
| static total (32 cases) | 635 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.1 | 0/0 | 0 | 36/8928 | 9354 | 416 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 107 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (2/2/0/0/248) | 0.5 | 30.3 / 57.9 | 7.2 | 1.7 | 17.3 | 0.9 (0.6) | 0.2 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 23 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (2/2/0/0/248) | 0.1 | 18.7 / 20.3 | 0.9 | 0.2 | 10.9 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 17 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (2/2/0/0/248) | 0.1 | 13.4 / 14.8 | 0.6 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 18 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 303 | 264 (2/2/0/0/248) | 0.1 | 14.8 / 16.2 | 0.4 | 0.2 | 11.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 11.3 / 12.2 | 0.3 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 300 | 260 (2/2/0/0/248) | 0.1 | 13.2 / 14.2 | 0.3 | 0.2 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 16 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 308 | 262 (2/2/0/0/248) | 0.2 | 13.6 / 14.7 | 0.3 | 0.2 | 11.2 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 17 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 319 | 264 (2/2/0/0/248) | 0.1 | 14.8 / 15.7 | 0.4 | 0.2 | 11.5 | 0.3 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (2/2/0/0/248) | 0.1 | 11.3 / 12.0 | 0.2 | 0.1 | 10.5 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 14 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 298 | 260 (2/2/0/0/248) | 0.1 | 12.5 / 13.2 | 0.3 | 0.1 | 10.8 | 0.2 (0.1) | 0.2 | 0.0 | 0.0 | 0 |
