| run | alloc MB | per accepted step KB | per Newton solve KB | per Newton iteration KB (excl. Jacobian) | per Jacobian build KB | per reconstruction KB | per phase-check flash KB | per checkConservation KB | alloc MB per simulated s (transient) |
|---|---|---|---|---|---|---|---|---|---|
| base-0.1s | 1213.1 | 646.3 | 575.6 | 19.7 | 39.7 | 26.1 | 44.6 | 3.4 | 6.32 |
| DE-0.1s | 529.5 | 282.1 | 251.3 | 18.7 | 36.4 | 25.3 | 7.1 | 3.5 | 2.76 |
| base-1s | 364.5 | 1424.6 | 1051.4 | 22.6 | 41.5 | 26.3 | 44.6 | 4.4 | 1.90 |
| DE-1s | 161.3 | 630.4 | 465.3 | 21.6 | 38.5 | 25.5 | 7.2 | 4.4 | 0.84 |
| base-5s | 316.9 | 1429.5 | 1154.8 | 20.6 | 39.9 | 26.3 | 44.6 | 4.3 | 1.65 |
| DE-5s | 132.5 | 597.7 | 482.8 | 19.8 | 38.8 | 25.5 | 7.2 | 4.3 | 0.69 |
| base-5s-hint | 308.9 | 1363.4 | 1162.9 | 20.2 | 42.6 | 26.3 | 44.6 | 4.1 | 1.61 |
| DE-5s-hint | 125.6 | 554.4 | 472.8 | 19.2 | 39.3 | 25.5 | 7.2 | 4.1 | 0.65 |
| run | alloc MB | per accepted step KB | per Newton solve KB | per Newton iteration KB (excl. Jacobian) | per Jacobian build KB | per reconstruction KB | per phase-check flash KB | per checkConservation KB | alloc MB per simulated s (transient) |
|---|---|---|---|---|---|---|---|---|---|
| base-static | 416.0 | 12171.0 | 5916.4 | 13.4 | 18.8 | 20.1 | 40.7 | 6.1 | - |
| DE-static | 138.3 | 4046.3 | 1966.9 | 13.2 | 18.3 | 20.0 | 7.9 | 6.1 | - |
