| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 91a-base-0.1s transient (12) | 1082 | 1922 | 2 (newton 2) | 2158 | 5.11 | 560 | 1842 | 13712 | 76151 | 17012 (6444/5778/6/1676/2976) | 466.4 | 0.0 / 0.0 | 34.8 | 39.2 | 1213.4 | 234.4 (21.8) | 532.2 | 49.3 | 6.5 | 0 |
| 91a-base-0.1s static (32) | 672 | 35 | 3 (newton 3) | 72 | 10.47 | 159 | 29 | 1258 | 11350 | 9354 (68/66/4/0/8928) | 5.5 | 0.0 / 0.0 | 17.2 | 6.2 | 415.9 | 12.8 (2.9) | 5.5 | 1.3 | 0.2 | 0 |
| 97a-DE-0.1s transient (12) | 832 | 1922 | 2 (newton 2) | 2158 | 5.11 | 560 | 1842 | 13712 | 69707 | 10568 (0/5778/6/1676/2976) | 234.8 | 161.5 / 167.4 | 33.4 | 41.3 | 529.5 | 221.7 (19.9) | 40.2 | 47.9 | 6.5 | 0 |
| 97a-DE-0.1s static (32) | 612 | 35 | 3 (newton 3) | 72 | 10.47 | 159 | 29 | 1258 | 11282 | 9286 (0/66/4/0/8928) | 2.5 | 468.7 / 477.1 | 16.8 | 6.3 | 138.3 | 12.6 (2.8) | 0.5 | 1.3 | 0.2 | 0 |
| 97e-ABCDE-0.1s transient (12) | 900 | 1970 | 55 (newton 55) | 2370 | 4.57 | 1030 | 1895 | 16393 | 84014 | 10751 (0/5952/135/1556/2976) | 236.6 | 163.5 / 169.7 | 55.9 | 40.7 | 598.1 | 278.6 (35.8) | 42.7 | 49.3 | 7.0 | 2013 |
| 97e-ABCDE-0.1s static (32) | 584 | 33 | 1 (newton 1) | 68 | 10.32 | 141 | 29 | 1157 | 10602 | 8786 (0/64/2/0/8432) | 2.3 | 444.5 / 476.1 | 16.7 | 5.8 | 130.2 | 10.4 (2.6) | 0.5 | 1.3 | 0.2 | 1 |
| 91b-base-1s transient (12) | 431 | 262 | 40 (be-state 30, newton 10) | 355 | 8.19 | 442 | 262 | 4140 | 24662 | 5437 (1011/888/30/400/2976) | 73.5 | 0.0 / 0.0 | 40.0 | 12.4 | 364.5 | 82.2 (17.9) | 84.0 | 7.8 | 1.1 | 0 |
| 91b-base-1s static (32) | 640 | 35 | 3 (newton 3) | 72 | 10.47 | 159 | 29 | 1258 | 11350 | 9354 (68/66/4/0/8928) | 5.4 | 0.0 / 0.0 | 15.9 | 6.3 | 415.9 | 12.8 (2.9) | 5.5 | 1.3 | 0.2 | 0 |
| 97f-DE-1s transient (12) | 383 | 262 | 40 (be-state 30, newton 10) | 355 | 8.19 | 442 | 262 | 4140 | 23651 | 4426 (0/888/30/400/2976) | 39.8 | 154.4 / 161.5 | 33.2 | 13.7 | 161.3 | 77.9 (16.6) | 6.5 | 7.6 | 1.1 | 0 |
