| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 46 | 21 | 1 | newton 1 | 23 | 1.10 | 8.91 | 120 | 43 | 0.6 | 0/0 | 0 | 1/248 | 360 | 14 |
| 0.05:4:true | 30 | 21 | 1 | newton 1 | 23 | 1.10 | 7.22 | 57 | 26 | 0.4 | 0/0 | 0 | 1/248 | 347 | 10 |
| 0.05:5:false | 27 | 20 | 0 | - | 22 | 1.10 | 8.55 | 43 | 27 | 0.3 | 0/0 | 0 | 1/248 | 354 | 11 |
| 0.05:5:true | 22 | 20 | 0 | - | 22 | 1.10 | 7.91 | 27 | 21 | 0.3 | 0/0 | 0 | 1/248 | 341 | 10 |
| 0.05:6:false | 36 | 20 | 0 | - | 28 | 1.40 | 9.68 | 17 | 40 | 0.5 | 0/0 | 0 | 1/248 | 354 | 13 |
| 0.05:6:true | 36 | 20 | 0 | - | 24 | 1.20 | 7.96 | 18 | 27 | 0.4 | 0/0 | 0 | 1/248 | 343 | 11 |
| 0.02:4:false | 23 | 17 | 0 | - | 18 | 1.06 | 8.39 | 8 | 16 | 0.3 | 0/0 | 0 | 1/248 | 343 | 8 |
| 0.02:4:true | 24 | 18 | 1 | be-state 1 | 20 | 1.11 | 8.15 | 11 | 16 | 0.2 | 0/0 | 0 | 1/248 | 335 | 9 |
| 0.02:5:false | 23 | 19 | 1 | be-state 1 | 22 | 1.16 | 8.45 | 19 | 21 | 0.2 | 0/0 | 0 | 1/248 | 360 | 10 |
| 0.02:5:true | 23 | 18 | 1 | be-state 1 | 21 | 1.17 | 8.19 | 6 | 17 | 0.3 | 0/0 | 0 | 1/248 | 337 | 9 |
| 0.02:6:false | 27 | 20 | 2 | newton 1, be-state 1 | 26 | 1.30 | 9.04 | 13 | 32 | 0.3 | 0/0 | 0 | 1/248 | 372 | 12 |
| 0.02:6:true | 25 | 18 | 1 | be-state 1 | 23 | 1.28 | 8.26 | 5 | 21 | 0.4 | 0/0 | 0 | 1/248 | 339 | 10 |
| transient total | 342 | 232 | 8 | newton 3, be-state 5 | 272 | 1.17 | 8.43 | 344 | 307 | 4.5 | 0/0 | 0 | 12/2976 | 4185 | 126 |
| static total (32 cases) | 624 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.2 | 0/0 | 0 | 36/8928 | 9286 | 138 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 100 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 296 | 256 (0/2/0/0/248) | 0.2 | 30.0 / 55.1 | 7.1 | 1.6 | 8.5 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 26 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 297 | 258 (0/2/0/0/248) | 0.2 | 21.3 / 23.2 | 0.7 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 22 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (0/2/0/0/248) | 0.1 | 17.2 / 18.9 | 0.6 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 19 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (0/2/0/0/248) | 0.1 | 15.7 / 17.0 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 294 | 256 (0/2/0/0/248) | 0.1 | 10.8 / 11.7 | 0.2 | 0.2 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 15 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 298 | 258 (0/2/0/0/248) | 0.1 | 12.1 / 13.4 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 306 | 260 (0/2/0/0/248) | 0.1 | 12.6 / 13.8 | 0.4 | 0.2 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 16 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 317 | 262 (0/2/0/0/248) | 0.1 | 13.9 / 14.7 | 0.5 | 0.1 | 4.0 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 12 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 294 | 256 (0/2/0/0/248) | 0.1 | 10.7 / 11.3 | 0.2 | 0.1 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (0/2/0/0/248) | 0.1 | 11.4 / 12.0 | 0.3 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
