| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 54 | 25 | 6 | newton 3, be-state 3 | 32 | 1.28 | 9.06 | 118 | 70 | 1.1 | 0/0 | 0 | 1/248 | 399 | 18 |
| 0.05:4:true | 32 | 23 | 4 | newton 1, be-state 3 | 28 | 1.22 | 8.54 | 114 | 59 | 0.7 | 0/0 | 0 | 1/248 | 365 | 14 |
| 0.05:5:false | 53 | 30 | 11 | newton 9, be-state 2 | 43 | 1.43 | 10.60 | 283 | 149 | 1.6 | 0/0 | 0 | 1/248 | 446 | 26 |
| 0.05:5:true | 39 | 23 | 4 | newton 1, be-state 3 | 30 | 1.30 | 8.60 | 136 | 66 | 0.6 | 0/0 | 0 | 1/248 | 368 | 16 |
| 0.05:6:false | 37 | 25 | 5 | newton 3, be-state 2 | 40 | 1.60 | 10.35 | 150 | 81 | 1.0 | 0/0 | 0 | 1/248 | 395 | 19 |
| 0.05:6:true | 33 | 25 | 6 | newton 5, be-state 1 | 41 | 1.64 | 10.29 | 221 | 114 | 1.1 | 0/0 | 0 | 1/248 | 383 | 21 |
| 0.02:4:false | 19 | 15 | 0 | - | 16 | 1.07 | 8.44 | 24 | 17 | 0.2 | 0/0 | 0 | 1/248 | 333 | 8 |
| 0.02:4:true | 24 | 18 | 4 | newton 4 | 23 | 1.28 | 10.48 | 187 | 69 | 0.5 | 0/0 | 0 | 1/248 | 347 | 14 |
| 0.02:5:false | 25 | 17 | 1 | newton 1 | 20 | 1.18 | 10.15 | 101 | 38 | 0.4 | 0/0 | 0 | 1/248 | 350 | 12 |
| 0.02:5:true | 21 | 15 | 0 | - | 17 | 1.13 | 8.71 | 66 | 24 | 0.4 | 0/0 | 0 | 1/248 | 321 | 9 |
| 0.02:6:false | 22 | 16 | 0 | - | 20 | 1.25 | 8.80 | 57 | 27 | 0.3 | 0/0 | 0 | 1/248 | 342 | 10 |
| 0.02:6:true | 22 | 15 | 0 | - | 19 | 1.27 | 8.74 | 41 | 29 | 0.3 | 0/0 | 0 | 1/248 | 323 | 10 |
| transient total | 381 | 247 | 41 | newton 27, be-state 14 | 329 | 1.33 | 9.57 | 1498 | 743 | 8.2 | 0/0 | 0 | 12/2976 | 4372 | 176 |
| static total (32 cases) | 586 | 33 | 1 | newton 1 | 68 | 2.06 | 10.32 | 387 | 141 | 10.8 | 0/0 | 0 | 34/8432 | 8786 | 130 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 96 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.2 | 28.3 / 53.3 | 6.7 | 1.9 | 8.5 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 23 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 302 | 258 (0/2/0/0/248) | 0.1 | 18.5 / 20.2 | 0.7 | 0.2 | 3.6 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 22 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 304 | 260 (0/2/0/0/248) | 0.1 | 18.1 / 19.6 | 0.7 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 21 | 1 | 0 | 2 | 9.50 | 3 | 1 | 29 | 306 | 262 (0/2/0/0/248) | 0.1 | 16.8 / 18.3 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 15 | 1 | 0 | 2 | 8.50 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 12.6 / 13.5 | 0.3 | 0.2 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 8.00 | 3 | 1 | 21 | 294 | 258 (0/2/0/0/248) | 0.1 | 11.6 / 12.7 | 0.3 | 0.1 | 3.4 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.00 | 4 | 1 | 34 | 313 | 260 (0/2/0/0/248) | 0.1 | 12.7 / 14.0 | 0.4 | 0.2 | 3.8 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 17 | 1 | 0 | 2 | 9.00 | 4 | 1 | 31 | 312 | 262 (0/2/0/0/248) | 0.1 | 14.0 / 15.0 | 0.5 | 0.2 | 4.0 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 12 | 1 | 0 | 2 | 8.00 | 3 | 1 | 19 | 290 | 256 (0/2/0/0/248) | 0.1 | 10.3 / 11.0 | 0.3 | 0.1 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 298 | 258 (0/2/0/0/248) | 0.1 | 11.5 / 12.2 | 0.3 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
