| case | ms | accepted | rejected | rejected by | Newton solves | Newton/accepted | iter/Newton | backtracks | Jacobians | LU ms | companion solves/filters | rate builds | seed calls/flashes | flashes | alloc MB |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0.05:4:false | 50 | 27 | 6 | be-state 6 | 36 | 1.33 | 7.56 | 99 | 45 | 0.7 | 0/0 | 0 | 1/248 | 406 | 17 |
| 0.05:4:true | 35 | 27 | 6 | newton 1, be-state 5 | 34 | 1.26 | 7.41 | 57 | 44 | 0.5 | 0/0 | 0 | 1/248 | 394 | 14 |
| 0.05:5:false | 45 | 30 | 9 | newton 4, be-state 5 | 47 | 1.57 | 6.81 | 311 | 80 | 1.1 | 0/0 | 0 | 1/248 | 440 | 22 |
| 0.05:5:true | 37 | 27 | 6 | newton 2, be-state 4 | 36 | 1.33 | 8.17 | 126 | 59 | 0.8 | 0/0 | 0 | 1/248 | 396 | 17 |
| 0.05:6:false | 51 | 28 | 7 | newton 2, be-state 5 | 47 | 1.68 | 10.19 | 131 | 72 | 0.9 | 0/0 | 0 | 1/248 | 408 | 21 |
| 0.05:6:true | 34 | 27 | 6 | newton 1, be-state 5 | 45 | 1.67 | 8.82 | 95 | 50 | 0.8 | 0/0 | 0 | 1/248 | 387 | 18 |
| 0.02:4:false | 21 | 16 | 0 | - | 17 | 1.06 | 8.53 | 9 | 14 | 0.2 | 0/0 | 0 | 1/248 | 338 | 8 |
| 0.02:4:true | 19 | 16 | 0 | - | 17 | 1.06 | 7.71 | 2 | 12 | 0.2 | 0/0 | 0 | 1/248 | 323 | 8 |
| 0.02:5:false | 23 | 16 | 0 | - | 18 | 1.13 | 8.72 | 16 | 18 | 0.2 | 0/0 | 0 | 1/248 | 340 | 9 |
| 0.02:5:true | 22 | 16 | 0 | - | 18 | 1.13 | 8.00 | 22 | 15 | 0.2 | 0/0 | 0 | 1/248 | 325 | 9 |
| 0.02:6:false | 23 | 16 | 0 | - | 20 | 1.25 | 8.10 | 8 | 16 | 0.2 | 0/0 | 0 | 1/248 | 342 | 10 |
| 0.02:6:true | 23 | 16 | 0 | - | 20 | 1.25 | 7.80 | 0 | 17 | 0.2 | 0/0 | 0 | 1/248 | 327 | 10 |
| transient total | 383 | 262 | 40 | newton 10, be-state 30 | 355 | 1.35 | 8.19 | 876 | 442 | 5.9 | 0/0 | 0 | 12/2976 | 4426 | 161 |
| static total (32 cases) | 617 | 35 | 3 | newton 3 | 72 | 2.06 | 10.47 | 432 | 159 | 11.6 | 0/0 | 0 | 36/8928 | 9286 | 138 |
| run / case | ms | accepted | rejected | Newton solves | iter/solve | Jacobians | solves opened preconditioned | residual evals | state calls | flashes (Newton-check/reconstructed-check/failed-pass/trace-seed/cold-seed) | flash ms (checks + trace seeds) | cold seed ms / cold rate-solve ms | Jacobian ms | reconstruct ms | alloc MB | Newton MB (Jacobian MB) | phase-check MB | reconstruct MB | conservation MB | predicted solves |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| static:3:102325.0:false:false | 104 | 1 | 0 | 2 | 9.50 | 4 | 1 | 21 | 296 | 256 (0/2/0/0/248) | 0.2 | 31.8 / 59.0 | 7.6 | 1.5 | 8.5 | 0.9 (0.6) | 0.0 | 0.2 | 0.0 | 0 |
| static:4:102325.0:false:false | 25 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 297 | 258 (0/2/0/0/248) | 0.1 | 20.1 / 21.8 | 0.7 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:102325.0:false:false | 20 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 299 | 260 (0/2/0/0/248) | 0.1 | 15.8 / 17.6 | 0.7 | 0.2 | 3.8 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:102325.0:false:false | 17 | 1 | 0 | 2 | 11.00 | 3 | 1 | 24 | 301 | 262 (0/2/0/0/248) | 0.1 | 14.6 / 15.8 | 0.4 | 0.2 | 4.0 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:150000.0:false:false | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 294 | 256 (0/2/0/0/248) | 0.1 | 10.9 / 11.7 | 0.3 | 0.2 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:150000.0:false:false | 14 | 1 | 0 | 2 | 11.00 | 3 | 1 | 25 | 298 | 258 (0/2/0/0/248) | 0.1 | 11.7 / 12.6 | 0.3 | 0.2 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:5:150000.0:false:false | 15 | 1 | 0 | 2 | 12.50 | 4 | 1 | 27 | 306 | 260 (0/2/0/0/248) | 0.1 | 12.6 / 13.7 | 0.4 | 0.1 | 3.7 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:6:150000.0:false:false | 16 | 1 | 0 | 2 | 10.50 | 5 | 1 | 32 | 317 | 262 (0/2/0/0/248) | 0.1 | 13.8 / 14.7 | 0.5 | 0.1 | 4.0 | 0.3 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
| static:3:102325.0:false:true | 12 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 294 | 256 (0/2/0/0/248) | 0.1 | 10.5 / 11.1 | 0.3 | 0.1 | 3.2 | 0.2 (0.0) | 0.0 | 0.0 | 0.0 | 0 |
| static:4:102325.0:false:true | 13 | 1 | 0 | 2 | 10.50 | 3 | 1 | 23 | 296 | 258 (0/2/0/0/248) | 0.1 | 11.7 / 12.5 | 0.3 | 0.1 | 3.5 | 0.2 (0.1) | 0.0 | 0.0 | 0.0 | 0 |
