interval 0: substeps 37/1 -> 3/0
| Quantity | max | mean | entries | max at |
|---|---|---|---|---|
| pressure (relative) | 1.792e-4 | 9.298e-5 | 100 | node 10 |
| temperature (K) | 2.466e-3 | 1.283e-3 | 100 | node 10 |
| mass (relative) | 2.574e-4 | 1.337e-4 | 100 | node 10 |
| vessel volume (relative) | 1.651e-10 | 4.761e-12 | 100 | node 10 |
| liquidVolume fraction (absolute) | 1.138e-5 | 5.862e-6 | 100 | node 10 |
| vaporVolume fraction (absolute) | 1.152e-5 | 5.937e-6 | 100 | node 10 |
| waterVolume fraction (absolute) | 1.461e-7 | 7.517e-8 | 100 | node 10 |
| liquidVolume (relative) | 2.658e-4 | 1.381e-4 | 100 | node 10 |
| vaporVolume (relative) | 1.204e-5 | 6.203e-6 | 100 | node 10 |
| waterVolume (relative) | 3.712e-4 | 1.938e-4 | 100 | node 10 |
| component moles (relative) | 2.574e-4 | 1.337e-4 | 2100 | node 10 moles[3] |
| pipe flow (relative to max(|q|, floor)) | 1.428e-1 | 4.896e-2 | 99 | pipe 4 |
| pipe flow (kg/s, absolute) | 2.395e-3 | 1.624e-3 | 99 | pipe 87 |
