=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTY 0.1 0 open=true phi=0.019437397452417054 P=149976.9676666961 q=[0.011026873979710658, 1.5272180419555832] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 1 open=true phi=0.019285211644483748 P=149953.94639376286 q=[0.011029368642404986, 1.526842496041656] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 2 open=true phi=0.01913306379463888 P=149930.93615991078 q=[0.011031865621880403, 1.5264670394611939] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 3 open=true phi=0.018980953894368567 P=149907.93692985256 q=[0.011034364942001613, 1.5260916716609907] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 4 open=true phi=0.01882888193522082 P=149884.9486677679 q=[0.0110368666269044, 1.5257163920777332] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 5 open=true phi=0.018676847908806575 P=149861.9713372598 q=[0.011039370701004296, 1.5253412001372086] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 6 open=true phi=0.018524851806800875 P=149839.00490134634 q=[0.01104187718900078, 1.5249660952541466] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 7 open=true phi=0.01837289362094427 P=149816.0493224302 q=[0.01104438611588464, 1.5245910768316495] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 8 open=true phi=0.018220973343044036 P=149793.10456230547 q=[0.011046897506940495, 1.524216144261315] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 9 open=true phi=0.01806909096497558 P=149770.17058213672 q=[0.011049411387753012, 1.5238412969228423] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 10 open=true phi=0.017917246478683552 P=149747.24734238823 q=[0.011051927784219139, 1.5234665341827414] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 11 open=true phi=0.017765439876183665 P=149724.3348028766 q=[0.011054446722545533, 1.5230918553952733] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 12 open=true phi=0.017613671149563827 P=149701.43292268715 q=[0.011056968229262509, 1.5227172599009253] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 13 open=true phi=0.017461940290985856 P=149678.54166019958 q=[0.011059492331224963, 1.522342747026866] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 14 open=true phi=0.017310247292686834 P=149655.66097300468 q=[0.011062019055626392, 1.5219683160854225] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 15 open=true phi=0.01715859214698097 P=149632.79081795397 q=[0.011064548429997064, 1.5215939663749678] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 16 open=true phi=0.017006974846261066 P=149609.9311510694 q=[0.011067080482219244, 1.5212196971782714] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 17 open=true phi=0.016855395383000314 P=149587.08192754188 q=[0.011069615240531665, 1.5208455077624554] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 18 open=true phi=0.016703853749754125 P=149564.24310172495 q=[0.011072152733534728, 1.520471397378878] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 19 open=true phi=0.016552349939161846 P=149541.41462705866 q=[0.011074692990204298, 1.52009736526172] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 20 open=true phi=0.01640088394394867 P=149518.59645605824 q=[0.01107723603989795, 1.5197234106277824] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 21 open=true phi=0.016249455756927794 P=149495.788540319 q=[0.011079781912358607, 1.519349532676553] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 22 open=true phi=0.016098065371002182 P=149472.99083042104 q=[0.011082330637731657, 1.5189757305884581] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 23 open=true phi=0.01594671277916693 P=149450.20327594102 q=[0.011084882246568215, 1.518602003525064] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 24 open=true phi=0.015795397974511183 P=149427.42582538418 q=[0.011087436769838477, 1.5182283506278293] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 25 open=true phi=0.01564412095022065 P=149404.65842617842 q=[0.011089994238937967, 1.517854771017973] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 26 open=true phi=0.01549288169957972 P=149381.90102460064 q=[0.011092554685701722, 1.517481263795124] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 27 open=true phi=0.01534168021597407 P=149359.15356576783 q=[0.011095118142411053, 1.5171078280371375] rejected=0 modes=[PASSIVE, PASSIVE]
DUTY 0.1 28 open=true phi=0.015190516492893097 P=149336.41599358417 q=[0.011097684641805515, 1.5167344627991186] rejected=0 modes=[PASSIVE, PASSIVE]
