d=0.01 initial share 0.030900629903898053
flow 0.337766 P 107003.0 share 0.029210 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.334142 P 113303.0 share 0.027539 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.330064 P 120320.9 share 0.025889 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.325449 P 128170.3 share 0.024263 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.320195 P 136985.5 share 0.022664 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.314218 P 146926.0 share 0.021096 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.307364 P 158178.5 share 0.019564 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.299404 P 170956.4 share 0.018074 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.290093 P 185497.1 share 0.016632 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.279125 P 202050.3 share 0.015247 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.266121 P 220849.5 share 0.013929 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.250622 P 242055.4 share 0.012692 modes [PASSIVE, INLET_WRONG_PHASE]
d=0.02 initial share 0.030900629903898053
flow 2.058606 P 150289.8 share 0.020614 modes [PASSIVE, INLET_WRONG_PHASE]
flow 1.742874 P 256481.9 share 0.011969 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.868834 P 394539.0 share 0.007744 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.022328 P 399999.6 share 0.007637 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.000002 P 400000.0 share 0.007637 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [PASSIVE, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
flow 0.000000 P 400000.0 share 0.007637 modes [CLOSED, INLET_WRONG_PHASE]
