LIQUID_JUNCTION interval=0.1 generators:0.02 m_J=1.564 kg Q(1s)=4.829 kg/s m_J/Q=0.3238 s tauFit(1.0-1.1s)=0.3239 s mismatch(1s)=-0.0189 mismatch(end)=5.42e-09 ms=*
LIQUID_JUNCTION interval=0.1 generators:0.05 m_J=9.774 kg Q(1s)=54.00 kg/s m_J/Q=0.1810 s tauFit(1.0-1.1s)=0.1809 s mismatch(1s)=-0.00288 mismatch(end)=4.10e-09 ms=*
LIQUID_JUNCTION interval=0.1 tanks:0.02 m_J=1.564 kg Q(1s)=3.103e-12 kg/s m_J/Q=5.040e+11 s tauFit(1.0-1.1s)=1.003e+12 s mismatch(1s)=-0.983 mismatch(end)=NaN ms=*
LIQUID_JUNCTION interval=0.1 tanks:0.05 m_J=9.774 kg Q(1s)=2.740e-11 kg/s m_J/Q=3.567e+11 s tauFit(1.0-1.1s)=Infinity s mismatch(1s)=-0.427 mismatch(end)=-0.427 ms=*
LIQUID_JUNCTION interval=5 generators:0.02 m_J=1.564 kg Q(1s)=4.829 kg/s m_J/Q=0.3238 s mismatch(1s)=-0.00172 mismatch(end)=9.16e-09 perSlice=[-0.00172,-8.21e-06,-3.90e-08,9.16e-09] ms=* newtonSolves=13
LIQUID_JUNCTION interval=5 generators:0.05 m_J=9.774 kg Q(1s)=54.00 kg/s m_J/Q=0.1810 s mismatch(1s)=-0.000389 mismatch(end)=5.52e-10 perSlice=[-0.000389,-4.11e-07,-4.33e-10,5.52e-10] ms=* newtonSolves=13
LIQUID_JUNCTION interval=5 tanks:0.02 m_J=1.564 kg Q(1s)=0.01503 kg/s m_J/Q=104.0 s mismatch(1s)=-0.342 mismatch(end)=-0.0806 perSlice=[-0.342,-0.0806,-0.0806,-0.0806] ms=* newtonSolves=17
LIQUID_JUNCTION interval=5 tanks:0.05 m_J=9.774 kg Q(1s)=0.01503 kg/s m_J/Q=650.2 s mismatch(1s)=-0.356 mismatch(end)=-0.472 perSlice=[-0.356,-0.472,-0.472,-0.472] ms=* newtonSolves=17
MIXED_GAS_COST interval=5 cases=12 ms=* newtonSolves=286 allocatedMB=*
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:4:false, worstMoles=5.514587206174876E-16, worstEnergy=1.2785353309169641E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:4:true, worstMoles=1.2013212947883937E-15, worstEnergy=2.9155899314157096E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:5:false, worstMoles=9.995189311191963E-16, worstEnergy=2.063091102161465E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:5:true, worstMoles=7.556908400314501E-16, worstEnergy=2.886434032101552E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:6:false, worstMoles=9.61788341858209E-16, worstEnergy=8.71728634716112E-16, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.02:6:true, worstMoles=8.915014561666219E-16, worstEnergy=2.769810434844924E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:4:false, worstMoles=5.10099316571176E-15, worstEnergy=5.4395265571948675E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:4:true, worstMoles=1.8286551733222133E-15, worstEnergy=4.607488907237493E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:5:false, worstMoles=3.0662160794169303E-15, worstEnergy=5.731974221560183E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:5:true, worstMoles=1.2841621953470297E-15, worstEnergy=1.8311814887738755E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:6:false, worstMoles=1.3627627019630802E-15, worstEnergy=7.603639273498202E-16, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=0.1 Outcome[key=0.05:6:true, worstMoles=7.835885536287712E-16, worstEnergy=2.864912974372031E-15, newtonSolves=0, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:4:false, worstMoles=2.060975018267591E-16, worstEnergy=2.324609692576299E-16, newtonSolves=16, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:4:true, worstMoles=3.2632104455903524E-16, worstEnergy=7.288974828539274E-16, newtonSolves=16, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:5:false, worstMoles=4.825263805403017E-16, worstEnergy=6.392676654584821E-16, newtonSolves=20, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:5:true, worstMoles=4.121950036535182E-16, worstEnergy=4.081825903981993E-16, newtonSolves=17, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:6:false, worstMoles=4.1359404046311573E-16, worstEnergy=4.35864317358056E-16, newtonSolves=20, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.02:6:true, worstMoles=2.7479666910234547E-16, worstEnergy=3.2071489245572804E-16, newtonSolves=19, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:4:false, worstMoles=2.4126319027015086E-16, worstEnergy=3.21692430801847E-16, newtonSolves=28, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:4:true, worstMoles=5.968135467490589E-16, worstEnergy=5.611685207532844E-16, newtonSolves=26, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:5:false, worstMoles=2.72552540392616E-16, worstEnergy=2.924476643653155E-16, newtonSolves=33, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:5:true, worstMoles=5.780909902760545E-16, worstEnergy=1.7721111181682666E-16, newtonSolves=27, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:6:false, worstMoles=2.38483472843539E-16, worstEnergy=2.339581314922524E-16, newtonSolves=35, ms=*, bytes=*]
MIXED_GAS_TRANSIENT interval=5 Outcome[key=0.05:6:true, worstMoles=1.6350177741836058E-16, worstEnergy=5.611685207532844E-16, newtonSolves=29, ms=*, bytes=*]
